,text,language,predictions
0,@user الأشقياء الطيبين 🤭,Arabic,2.448171478807252
1,@user Un caffè? ☕😁😁😁,Italian,1.3512296440106069
2,@user girl!! we support u no matter what 😚,English,2.4804784638246904
3,@user 아..,Korean,1.3008697502334239
4,@user @user Pouaaaah jle chantais taleur arrête elle était bien,French,1.580698866819127
5,@user @user je rêve ??,French,2.167282426979499
6,"@jndkgrf Ik schaam me te zeggen dat ik ooit een regelmatige PVDA-stemmer was. Ongelofelijk nu, ik vertel dit nooit aan mijn kinderen.",Dutch,2.214444261266319
7,"thank u, nxt",English,2.241351718780843
8,@user Uit welk wijs boek komt dit citaat?,Dutch,1.1859690936231084
9,@user ma che cosa HO FATTO,Italian,2.6000572719858264
10,Horrível!,Portuguese,1.4812581877739746
11,@user 안녕하세요 트친소 찾아 왔습니다아!,Korean,1.8012916363558107
12,在教室打飞机，站累了，就搬凳子坐下，站着坐着都是你爸爸，听爸爸的话哦！骚货，爸爸爱你。 http,Chinese,4.559772943668627
13,@vanranstmarc @user Van wie komt dat wetsvoorstel eigenlijk?,Dutch,1.2021040601623574
14,#1Ene 1942 se firma la declaración de la Naciones Unidas. #60AñosDeRevoluciónCubana #Feliz2019 http,Spanish,1.186837700594458
15,사람이 힘들면 걍 다른사람이 행복한게 화나는거같음,Korean,2.26676018998774
16,@user Puta madre ando igual,Spanish,2.5454996529222864
17,@user 배려 감사드립니다~&gt;&lt; 아직은 존댓말이 편해서요! 비포우캔님도 편하게 말씀해주세요😍,Korean,1.8152686396872189
18,Brandon McCarthy was cheated out of a World Series ring.,English,1.2937568988020278
19,"'मेट्रो मैन' भी केजरीवाल के खिलाफ, बोले- मुफ्त यात्रा से बर्बाद हो जाएगी मेट्रो http",Hindi,1.1837275954258757
20,@user mostro a realidade,Portuguese,1.4704567629812124
21,@user Je schrikt je als aanstaande vader tot kapot 😱,Dutch,3.476931469220503
22,@user 20日！,Chinese,1.5347062341664608
23,@user @jose_simao @user Babaca. Vc tem sangue do que? Imaturo...,Portuguese,2.73118001682933
24,@user Gracias 😭😭😭,Spanish,1.6740094835030166
25,@user أي الذي ينتقد ويكتب ملاحظات على الكتاب، أو الشخص الشكس المجادل,Arabic,2.061137748797205
26,@user عجبتني جاري السرقه,Arabic,1.970141004884451
27,@ 누가 무대에서 버릇없게 스케이트보드 타고 다니래 ㄴ우리 와기들도 데뷔 때는 더한 걸 ㄴ어쩌라고요 그게 아니자나요,Korean,1.614989107306386
28,@user ماتتت توني شفتها,Arabic,1.4796207610756476
29,"@user graag gedaan, je verdiend het Geke !",Dutch,2.8844329849234156
30,"Attenzione, amici sovranisti, il nemico del popolo di oggi è Antonio #Candreva. Ripeto, Antonio Candreva. #Minerbe",Italian,1.2285081140864107
31,1 Ongeval wegvervoer letsel Burgemeester van Beresteijnlaan Capelle aan den IJss http,Dutch,1.177309107577951
32,@user Tu prends ça et tu découpe du papier tu met t’es réponse et tu le glisse dans la recharge http,French,1.1216789517702244
33,اللهم أنت أعلمُ بي من نفسي فيسر لي أمري #١٧رمضان,Arabic,2.640829904507834
34,"estoy en la mía, no jodo a nadie, no rompan las bolas",Spanish,3.3090286064026007
35,You never know how much you needed an @Nas until it drops #TheLostTapes2 🔥🔥🔥,English,2.2027367452372726
36,Merci seigneur 🙏🏾,French,1.42703416425749
37,@PublimetroChile Que manera de cagar fuera del tiesto este humano,Spanish,2.0262999594318094
38,야 그냥 사귄다고 해 ... http,Korean,2.6030985412488317
39,@thehill give me a break. this headline is so stupid. you think obama didnt make a shit ton of money off his presidency?,English,1.4171869309709249
40,@user 欧哥祝你欧上加欧,Chinese,3.8399587452119097
41,#LeonardoDiCaprio habla en la #ONU sobre el #CambioClimatico @LeoDiCaprio @user @climadecambios http,Spanish,1.195816775247742
42,#WWESSD ماشاء الله مب واضح التمثيل كأنه حقيقة http,Arabic,1.3328737547890512
