,text,language,predictions
0,@user الأشقياء الطيبين 🤭,Arabic,2.2385184257210566
1,@user Un caffè? ☕😁😁😁,Italian,1.538177621341255
2,@user girl!! we support u no matter what 😚,English,2.4885561389428505
3,@user 아..,Korean,1.4994858391292496
4,@user @user Pouaaaah jle chantais taleur arrête elle était bien,French,2.3042933631597355
5,@user @user je rêve ??,French,2.102550597881855
6,"@jndkgrf Ik schaam me te zeggen dat ik ooit een regelmatige PVDA-stemmer was. Ongelofelijk nu, ik vertel dit nooit aan mijn kinderen.",Dutch,2.812535803878932
7,"thank u, nxt",English,1.6178276497475403
8,@user Uit welk wijs boek komt dit citaat?,Dutch,1.4738548797593554
9,@user ma che cosa HO FATTO,Italian,2.8532019058142777
10,Horrível!,Portuguese,1.5619531730850977
11,@user 안녕하세요 트친소 찾아 왔습니다아!,Korean,2.1136632693586055
12,在教室打飞机，站累了，就搬凳子坐下，站着坐着都是你爸爸，听爸爸的话哦！骚货，爸爸爱你。 http,Chinese,3.8847303960515855
13,@vanranstmarc @user Van wie komt dat wetsvoorstel eigenlijk?,Dutch,1.4567647810371527
14,#1Ene 1942 se firma la declaración de la Naciones Unidas. #60AñosDeRevoluciónCubana #Feliz2019 http,Spanish,1.2001850375249516
15,사람이 힘들면 걍 다른사람이 행복한게 화나는거같음,Korean,2.6730112107140123
16,@user Puta madre ando igual,Spanish,1.9481251970027402
17,@user 배려 감사드립니다~&gt;&lt; 아직은 존댓말이 편해서요! 비포우캔님도 편하게 말씀해주세요😍,Korean,2.822261907609356
18,Brandon McCarthy was cheated out of a World Series ring.,English,1.3201318506333808
19,"'मेट्रो मैन' भी केजरीवाल के खिलाफ, बोले- मुफ्त यात्रा से बर्बाद हो जाएगी मेट्रो http",Hindi,1.2893018246568453
20,@user mostro a realidade,Portuguese,1.629961005594345
21,@user Je schrikt je als aanstaande vader tot kapot 😱,Dutch,3.591020535174891
22,@user 20日！,Chinese,1.511904145896766
23,@user @jose_simao @user Babaca. Vc tem sangue do que? Imaturo...,Portuguese,1.8144854057528232
24,@user Gracias 😭😭😭,Spanish,1.6525891162838944
25,@user أي الذي ينتقد ويكتب ملاحظات على الكتاب، أو الشخص الشكس المجادل,Arabic,1.6876225087663999
26,@user عجبتني جاري السرقه,Arabic,2.3488587872517233
27,@ 누가 무대에서 버릇없게 스케이트보드 타고 다니래 ㄴ우리 와기들도 데뷔 때는 더한 걸 ㄴ어쩌라고요 그게 아니자나요,Korean,1.7222824397056167
28,@user ماتتت توني شفتها,Arabic,1.5970528153245693
29,"@user graag gedaan, je verdiend het Geke !",Dutch,2.764344108460621
30,"Attenzione, amici sovranisti, il nemico del popolo di oggi è Antonio #Candreva. Ripeto, Antonio Candreva. #Minerbe",Italian,1.5415414394301976
31,1 Ongeval wegvervoer letsel Burgemeester van Beresteijnlaan Capelle aan den IJss http,Dutch,1.3360337164491456
32,@user Tu prends ça et tu découpe du papier tu met t’es réponse et tu le glisse dans la recharge http,French,2.3198612863891146
33,اللهم أنت أعلمُ بي من نفسي فيسر لي أمري #١٧رمضان,Arabic,2.8419298560124586
34,"estoy en la mía, no jodo a nadie, no rompan las bolas",Spanish,3.5230197479927923
35,You never know how much you needed an @Nas until it drops #TheLostTapes2 🔥🔥🔥,English,1.8072291924255275
36,Merci seigneur 🙏🏾,French,1.5923605090349513
37,@PublimetroChile Que manera de cagar fuera del tiesto este humano,Spanish,1.6510846133133712
38,야 그냥 사귄다고 해 ... http,Korean,3.183405377230497
39,@thehill give me a break. this headline is so stupid. you think obama didnt make a shit ton of money off his presidency?,English,1.6368355279626075
40,@user 欧哥祝你欧上加欧,Chinese,3.3161547338559583
41,#LeonardoDiCaprio habla en la #ONU sobre el #CambioClimatico @LeoDiCaprio @user @climadecambios http,Spanish,1.2643619881984258
42,#WWESSD ماشاء الله مب واضح التمثيل كأنه حقيقة http,Arabic,1.6204810738831026
43,@user @user @user 40 anni e portarli bene,Italian,1.896066919477476
44,@user @user L’odio va segnalato sempre. Io mi vergognerei di augurare la morte se se fossi in te http,Italian,3.1038765402920485
45,금리인하 진퇴양난..집값 잡기 포기냐 vs 경기부양 포기냐 | 다음 뉴스 http,Korean,1.132102104196481
46,@user @narendramodi मान गई की #चौकीदार_ही_चोर_है की अभी और सबूत चाहिए?,Hindi,1.458036255371914
47,"लोग दिल्ली जाते हैं, टिकट मांगने गिर्राजसिंह गए हैं लौटाने - कन्हैया कुमार",Hindi,1.3553828785998958
48,"@user @Le_Figaro Marciare divisi, colpire Uniti.",Italian,1.4867573011494895
49,#puma es ahora una tendencia en #Temuco http http,Spanish,1.212643544100314
50,@user @user @PSG_inside Ou alors dernière année sous l'ère Qatari et ils lâchent le pactole avant la CDM 2022. 🤪Mdr 😂😂 #2nddegre,French,1.4400000402590123
51,@user @user Archeologie ook niet. http,Dutch,1.4289820958699702
