,text,language,predictions
0,@user الأشقياء الطيبين 🤭,Arabic,1.8983099511033885
1,@user Un caffè? ☕😁😁😁,Italian,1.854105501940368
2,@user girl!! we support u no matter what 😚,English,2.0751087562192336
3,@user 아..,Korean,1.6539455905675369
4,@user @user Pouaaaah jle chantais taleur arrête elle était bien,French,2.430311019377302
5,@user @user je rêve ??,French,1.7480538621069395
6,"@jndkgrf Ik schaam me te zeggen dat ik ooit een regelmatige PVDA-stemmer was. Ongelofelijk nu, ik vertel dit nooit aan mijn kinderen.",Dutch,2.184278568908613
7,"thank u, nxt",English,2.519138390928904
8,@user Uit welk wijs boek komt dit citaat?,Dutch,1.4779089527288793
9,@user ma che cosa HO FATTO,Italian,2.4038413019753175
10,Horrível!,Portuguese,1.5458505801320834
11,@user 안녕하세요 트친소 찾아 왔습니다아!,Korean,2.0353185863175214
12,在教室打飞机，站累了，就搬凳子坐下，站着坐着都是你爸爸，听爸爸的话哦！骚货，爸爸爱你。 http,Chinese,2.9600211017069302
13,@vanranstmarc @user Van wie komt dat wetsvoorstel eigenlijk?,Dutch,1.3942060317910403
14,#1Ene 1942 se firma la declaración de la Naciones Unidas. #60AñosDeRevoluciónCubana #Feliz2019 http,Spanish,1.4320611421958305
15,사람이 힘들면 걍 다른사람이 행복한게 화나는거같음,Korean,2.442417464300198
16,@user Puta madre ando igual,Spanish,2.72403359127972
17,@user 배려 감사드립니다~&gt;&lt; 아직은 존댓말이 편해서요! 비포우캔님도 편하게 말씀해주세요😍,Korean,2.4995995291681643
18,Brandon McCarthy was cheated out of a World Series ring.,English,1.3784568387664733
19,"'मेट्रो मैन' भी केजरीवाल के खिलाफ, बोले- मुफ्त यात्रा से बर्बाद हो जाएगी मेट्रो http",Hindi,1.458795883848292
20,@user mostro a realidade,Portuguese,2.346237071083078
21,@user Je schrikt je als aanstaande vader tot kapot 😱,Dutch,2.418072556900423
22,@user 20日！,Chinese,1.9131707622661915
23,@user @jose_simao @user Babaca. Vc tem sangue do que? Imaturo...,Portuguese,1.7011752331903471
24,@user Gracias 😭😭😭,Spanish,2.8282285446746216
25,@user أي الذي ينتقد ويكتب ملاحظات على الكتاب، أو الشخص الشكس المجادل,Arabic,1.5686138486546013
26,@user عجبتني جاري السرقه,Arabic,2.0289686870452006
27,@ 누가 무대에서 버릇없게 스케이트보드 타고 다니래 ㄴ우리 와기들도 데뷔 때는 더한 걸 ㄴ어쩌라고요 그게 아니자나요,Korean,1.8752238924076718
28,@user ماتتت توني شفتها,Arabic,2.5551832716218312
29,"@user graag gedaan, je verdiend het Geke !",Dutch,2.101886426656731
30,"Attenzione, amici sovranisti, il nemico del popolo di oggi è Antonio #Candreva. Ripeto, Antonio Candreva. #Minerbe",Italian,1.6380804700405218
31,1 Ongeval wegvervoer letsel Burgemeester van Beresteijnlaan Capelle aan den IJss http,Dutch,1.464134945415819
32,@user Tu prends ça et tu découpe du papier tu met t’es réponse et tu le glisse dans la recharge http,French,2.1416444164553745
33,اللهم أنت أعلمُ بي من نفسي فيسر لي أمري #١٧رمضان,Arabic,2.8019785487960487
34,"estoy en la mía, no jodo a nadie, no rompan las bolas",Spanish,3.377165711045095
35,You never know how much you needed an @Nas until it drops #TheLostTapes2 🔥🔥🔥,English,1.5437623024599976
36,Merci seigneur 🙏🏾,French,2.394603502223922
37,@PublimetroChile Que manera de cagar fuera del tiesto este humano,Spanish,1.550086879684002
38,야 그냥 사귄다고 해 ... http,Korean,2.819097308543224
39,@thehill give me a break. this headline is so stupid. you think obama didnt make a shit ton of money off his presidency?,English,1.5659845759710906
40,@user 欧哥祝你欧上加欧,Chinese,2.5273741233724483
41,#LeonardoDiCaprio habla en la #ONU sobre el #CambioClimatico @LeoDiCaprio @user @climadecambios http,Spanish,1.2731217007975786
42,#WWESSD ماشاء الله مب واضح التمثيل كأنه حقيقة http,Arabic,1.4333001421068077
43,@user @user @user 40 anni e portarli bene,Italian,1.8675353536019625
44,@user @user L’odio va segnalato sempre. Io mi vergognerei di augurare la morte se se fossi in te http,Italian,2.75826952814605
45,금리인하 진퇴양난..집값 잡기 포기냐 vs 경기부양 포기냐 | 다음 뉴스 http,Korean,1.251750287675614
46,@user @narendramodi मान गई की #चौकीदार_ही_चोर_है की अभी और सबूत चाहिए?,Hindi,1.5239677803312308
47,"लोग दिल्ली जाते हैं, टिकट मांगने गिर्राजसिंह गए हैं लौटाने - कन्हैया कुमार",Hindi,1.491633502916322
48,"@user @Le_Figaro Marciare divisi, colpire Uniti.",Italian,1.4934446228564457
49,#puma es ahora una tendencia en #Temuco http http,Spanish,1.5128669636292298
50,@user @user @PSG_inside Ou alors dernière année sous l'ère Qatari et ils lâchent le pactole avant la CDM 2022. 🤪Mdr 😂😂 #2nddegre,French,1.2794799418384204
51,@user @user Archeologie ook niet. http,Dutch,1.4263476572159595
52,@user 여보는 그 .. 야구보는 여보와 안보는 여보가 인격이 두개같어,Korean,1.8076986280593355
53,@user لوزه الالالافيو,Arabic,1.5193796098162502
54,#الشريقي_رئيساً_للمركز_الوطني_للتشغيل رجالا احترمو الأمانة. وخدمو وطنهم بدون تفاني. #باحثون_عن_عمل_يستغيثون23,Arabic,1.5442573353160145
55,"@KailashOnline जन्मदिन की हार्दिक बधाई शुभकामनाएं,, जय हो 💐💐💐🎂🎂",Hindi,2.2373672982891133
56,ما كسرني فراق ولا ذبحني غياب القهر ليه اصفي نيتي وانصدم ؟,Arabic,3.1865769404503235
57,Ben benieuwd wat ze er van gaan vinden 😭😭,Dutch,1.8005859020814856
58,"@user Adotei ele, só falta treinar",Portuguese,1.965121054557804
59,@user It already got weird,English,1.6178241502441533
60,자기 꿈은 정치인이라며 늘 양말을 빨파로 맞춰신고오던 학생회장 언니 http,Korean,1.9359580339803424
61,Para q busco cosas que sé que me van a hacer mal🤦🏼‍♀️No aprendo más,Spanish,2.8951665880847894
62,粉丝到1000后，发全版,Chinese,1.8538671845377244
63,بعض الناس اذا زعلوا ودك تقولهم واخييراً.,Arabic,2.457779902602434
64,@user On aura le temps plus tard ok ?😔,French,2.646070433541163
65,@user @user ههههههاي,Arabic,1.75918211102795
66,Em Iconha parece que passou um furacão e destruiu tudo. Que tristeza 😓,Portuguese,1.8289249010033202
