text,label,language
@user الأشقياء الطيبين 🤭,0.0,Arabic
@user Un caffè? ☕😁😁😁,0.0,Italian
@user girl!! we support u no matter what 😚,0.0,English
@user 아..,3.0,Korean
@user @user Pouaaaah jle chantais taleur arrête elle était bien,0.0,French
@user @user je rêve ??,2.2,French
"@jndkgrf Ik schaam me te zeggen dat ik ooit een regelmatige PVDA-stemmer was. Ongelofelijk nu, ik vertel dit nooit aan mijn kinderen.",0.0,Dutch
"thank u, nxt",1.0,English
@user Uit welk wijs boek komt dit citaat?,0.0,Dutch
@user ma che cosa HO FATTO,2.6,Italian
Horrível!,0.0,Portuguese
@user 안녕하세요 트친소 찾아 왔습니다아!,0.0,Korean
在教室打飞机，站累了，就搬凳子坐下，站着坐着都是你爸爸，听爸爸的话哦！骚货，爸爸爱你。 http,3.0,Chinese
@vanranstmarc @user Van wie komt dat wetsvoorstel eigenlijk?,0.0,Dutch
#1Ene 1942 se firma la declaración de la Naciones Unidas. #60AñosDeRevoluciónCubana #Feliz2019 http,0.0,Spanish
사람이 힘들면 걍 다른사람이 행복한게 화나는거같음,3.5,Korean
@user Puta madre ando igual,2.4,Spanish
@user 배려 감사드립니다~&gt;&lt; 아직은 존댓말이 편해서요! 비포우캔님도 편하게 말씀해주세요😍,0.0,Korean
Brandon McCarthy was cheated out of a World Series ring.,0.0,English
"'मेट्रो मैन' भी केजरीवाल के खिलाफ, बोले- मुफ्त यात्रा से बर्बाद हो जाएगी मेट्रो http",1.0,Hindi
@user mostro a realidade,0.0,Portuguese
@user Je schrikt je als aanstaande vader tot kapot 😱,0.0,Dutch
@user 20日！,0.0,Chinese
@user @jose_simao @user Babaca. Vc tem sangue do que? Imaturo...,0.0,Portuguese
@user Gracias 😭😭😭,1.5,Spanish
@user أي الذي ينتقد ويكتب ملاحظات على الكتاب، أو الشخص الشكس المجادل,0.0,Arabic
@user عجبتني جاري السرقه,1.5,Arabic
@ 누가 무대에서 버릇없게 스케이트보드 타고 다니래 ㄴ우리 와기들도 데뷔 때는 더한 걸 ㄴ어쩌라고요 그게 아니자나요,0.0,Korean
@user ماتتت توني شفتها,0.0,Arabic
"@user graag gedaan, je verdiend het Geke !",0.0,Dutch
"Attenzione, amici sovranisti, il nemico del popolo di oggi è Antonio #Candreva. Ripeto, Antonio Candreva. #Minerbe",0.0,Italian
1 Ongeval wegvervoer letsel Burgemeester van Beresteijnlaan Capelle aan den IJss http,0.0,Dutch
@user Tu prends ça et tu découpe du papier tu met t’es réponse et tu le glisse dans la recharge http,0.0,French
اللهم أنت أعلمُ بي من نفسي فيسر لي أمري #١٧رمضان,0.0,Arabic
"estoy en la mía, no jodo a nadie, no rompan las bolas",0.0,Spanish
You never know how much you needed an @Nas until it drops #TheLostTapes2 🔥🔥🔥,0.0,English
Merci seigneur 🙏🏾,1.75,French
@PublimetroChile Que manera de cagar fuera del tiesto este humano,1.6,Spanish
야 그냥 사귄다고 해 ... http,0.0,Korean
@thehill give me a break. this headline is so stupid. you think obama didnt make a shit ton of money off his presidency?,0.0,English
