,text,language,predictions
0,@user الأشقياء الطيبين 🤭,Arabic,2.6644375324249268
1,@user Un caffè? ☕😁😁😁,Italian,1.9006035327911377
2,@user girl!! we support u no matter what 😚,English,2.4012327194213867
3,@user 아..,Korean,1.2610710859298706
4,@user @user Pouaaaah jle chantais taleur arrête elle était bien,French,2.183609962463379
5,@user @user je rêve ??,French,1.5227024555206299
6,"@jndkgrf Ik schaam me te zeggen dat ik ooit een regelmatige PVDA-stemmer was. Ongelofelijk nu, ik vertel dit nooit aan mijn kinderen.",Dutch,1.8800894021987915
7,"thank u, nxt",English,2.181455373764038
8,@user Uit welk wijs boek komt dit citaat?,Dutch,1.0605143308639526
9,@user ma che cosa HO FATTO,Italian,2.1921238899230957
10,Horrível!,Portuguese,1.4913688898086548
11,@user 안녕하세요 트친소 찾아 왔습니다아!,Korean,1.6644392013549805
12,在教室打飞机，站累了，就搬凳子坐下，站着坐着都是你爸爸，听爸爸的话哦！骚货，爸爸爱你。 http,Chinese,4.016611099243164
13,@vanranstmarc @user Van wie komt dat wetsvoorstel eigenlijk?,Dutch,1.1114861965179443
14,#1Ene 1942 se firma la declaración de la Naciones Unidas. #60AñosDeRevoluciónCubana #Feliz2019 http,Spanish,1.0352576971054077
15,사람이 힘들면 걍 다른사람이 행복한게 화나는거같음,Korean,2.0312798023223877
16,@user Puta madre ando igual,Spanish,2.1952645778656006
17,@user 배려 감사드립니다~&gt;&lt; 아직은 존댓말이 편해서요! 비포우캔님도 편하게 말씀해주세요😍,Korean,2.2551817893981934
18,Brandon McCarthy was cheated out of a World Series ring.,English,1.300163984298706
19,"'मेट्रो मैन' भी केजरीवाल के खिलाफ, बोले- मुफ्त यात्रा से बर्बाद हो जाएगी मेट्रो http",Hindi,1.0781643390655518
20,@user mostro a realidade,Portuguese,1.4992690086364746
21,@user Je schrikt je als aanstaande vader tot kapot 😱,Dutch,3.0664703845977783
22,@user 20日！,Chinese,1.507603406906128
23,@user @jose_simao @user Babaca. Vc tem sangue do que? Imaturo...,Portuguese,3.010005235671997
24,@user Gracias 😭😭😭,Spanish,2.0390706062316895
25,@user أي الذي ينتقد ويكتب ملاحظات على الكتاب، أو الشخص الشكس المجادل,Arabic,1.7127344608306885
26,@user عجبتني جاري السرقه,Arabic,1.4561854600906372
27,@ 누가 무대에서 버릇없게 스케이트보드 타고 다니래 ㄴ우리 와기들도 데뷔 때는 더한 걸 ㄴ어쩌라고요 그게 아니자나요,Korean,1.8557931184768677
28,@user ماتتت توني شفتها,Arabic,1.5369129180908203
29,"@user graag gedaan, je verdiend het Geke !",Dutch,2.808490514755249
30,"Attenzione, amici sovranisti, il nemico del popolo di oggi è Antonio #Candreva. Ripeto, Antonio Candreva. #Minerbe",Italian,1.0728040933609009
31,1 Ongeval wegvervoer letsel Burgemeester van Beresteijnlaan Capelle aan den IJss http,Dutch,1.1879303455352783
32,@user Tu prends ça et tu découpe du papier tu met t’es réponse et tu le glisse dans la recharge http,French,1.0932739973068237
33,اللهم أنت أعلمُ بي من نفسي فيسر لي أمري #١٧رمضان,Arabic,1.9898200035095215
34,"estoy en la mía, no jodo a nadie, no rompan las bolas",Spanish,2.842538595199585
35,You never know how much you needed an @Nas until it drops #TheLostTapes2 🔥🔥🔥,English,2.6988413333892822
36,Merci seigneur 🙏🏾,French,1.5011731386184692
37,@PublimetroChile Que manera de cagar fuera del tiesto este humano,Spanish,2.309788465499878
38,야 그냥 사귄다고 해 ... http,Korean,2.746072292327881
39,@thehill give me a break. this headline is so stupid. you think obama didnt make a shit ton of money off his presidency?,English,1.4265326261520386
40,@user 欧哥祝你欧上加欧,Chinese,3.3558433055877686
41,#LeonardoDiCaprio habla en la #ONU sobre el #CambioClimatico @LeoDiCaprio @user @climadecambios http,Spanish,1.0
42,#WWESSD ماشاء الله مب واضح التمثيل كأنه حقيقة http,Arabic,1.4067199230194092
43,@user @user @user 40 anni e portarli bene,Italian,1.8129551410675049
44,@user @user L’odio va segnalato sempre. Io mi vergognerei di augurare la morte se se fossi in te http,Italian,2.5858805179595947
45,금리인하 진퇴양난..집값 잡기 포기냐 vs 경기부양 포기냐 | 다음 뉴스 http,Korean,1.0
46,@user @narendramodi मान गई की #चौकीदार_ही_चोर_है की अभी और सबूत चाहिए?,Hindi,1.4798909425735474
47,"लोग दिल्ली जाते हैं, टिकट मांगने गिर्राजसिंह गए हैं लौटाने - कन्हैया कुमार",Hindi,1.1389422416687012
48,"@user @Le_Figaro Marciare divisi, colpire Uniti.",Italian,1.0
49,#puma es ahora una tendencia en #Temuco http http,Spanish,1.0
50,@user @user @PSG_inside Ou alors dernière année sous l'ère Qatari et ils lâchent le pactole avant la CDM 2022. 🤪Mdr 😂😂 #2nddegre,French,1.001181721687317
51,@user @user Archeologie ook niet. http,Dutch,1.2375400066375732
52,@user 여보는 그 .. 야구보는 여보와 안보는 여보가 인격이 두개같어,Korean,1.3004426956176758
53,@user لوزه الالالافيو,Arabic,1.0393800735473633
54,#الشريقي_رئيساً_للمركز_الوطني_للتشغيل رجالا احترمو الأمانة. وخدمو وطنهم بدون تفاني. #باحثون_عن_عمل_يستغيثون23,Arabic,1.4006837606430054
55,"@KailashOnline जन्मदिन की हार्दिक बधाई शुभकामनाएं,, जय हो 💐💐💐🎂🎂",Hindi,2.838836193084717
56,ما كسرني فراق ولا ذبحني غياب القهر ليه اصفي نيتي وانصدم ؟,Arabic,3.4955637454986572
57,Ben benieuwd wat ze er van gaan vinden 😭😭,Dutch,1.669182538986206
58,"@user Adotei ele, só falta treinar",Portuguese,2.7723100185394287
59,@user It already got weird,English,1.69606614112854
60,자기 꿈은 정치인이라며 늘 양말을 빨파로 맞춰신고오던 학생회장 언니 http,Korean,1.9691033363342285
61,Para q busco cosas que sé que me van a hacer mal🤦🏼‍♀️No aprendo más,Spanish,3.306527614593506
62,粉丝到1000后，发全版,Chinese,1.742339015007019
63,بعض الناس اذا زعلوا ودك تقولهم واخييراً.,Arabic,2.3375933170318604
64,@user On aura le temps plus tard ok ?😔,French,2.3613100051879883
65,@user @user ههههههاي,Arabic,1.6632405519485474
66,Em Iconha parece que passou um furacão e destruiu tudo. Que tristeza 😓,Portuguese,1.5039786100387573
67,Ces fdp de Monaco ils achètent tous les joueurs du monde pour se faire poutrer par tout le monde cheh,French,1.0286877155303955
68,इस वीडियो जरूर देखें जी हो सके कहीं आप जी काम आ जाए http,Hindi,1.9160079956054688
69,You should be sad di Halsey&gt; Ogni canzone cacciata fino ad oggi dai pischelli americani,Italian,1.126754879951477
70,"कोई भी इंसान उसी व्यक्ति की बातें चुपचाप सुनता है, जिसे खो देने का डर सबसे ज्यादा होता है..!!",Hindi,2.326927900314331
71,실물 궁금쓰,Korean,1.6894316673278809
72,fuck going outside today,English,2.1797289848327637
73,@user Cos'è che ha fatto?!? http,Italian,1.8629053831100464
74,@user Netwerken!!,Dutch,1.402958631515503
75,@CNN 华为的营业额确实很大，但是他的背后是整个国家人才支撑体系。这点 已经有人注意到了,Chinese,1.1011558771133423
76,@user انا بفكر في مصر,Arabic,1.7132389545440674
77,"pqp eu tenho um penhasco pelo wayv mds,,,,,,,,que talento",Portuguese,1.7407305240631104
78,@user सालों की म@%@%,Hindi,2.9807465076446533
79,تحت تاثير اغنيه 🎻,Arabic,1.0970261096954346
80,شنو الافضل برايكم ؟!! ١-حب . خطوبه . زواج ٢-خطوبه . حب . زواج أنا عن نفسي أشوف شاورما . بطاط . بيبسي,Arabic,2.558375835418701
81,"Espero no llorar al rato, desde que entre al cuarto de mi mama no eh dejado de reir con ella y mi hermana jajaja",Spanish,3.8648464679718018
82,NIEUW! ‘Meerderheid in de maak voor nieuw competitieformat Jupiler Pro League’ http Het is nog altijd #aagent #buffalos,Dutch,1.0
83,نبي حوشنا 💔,Arabic,2.325321912765503
84,모두의 익명 질문을 모집 중! 최근 답변한 질문 ● 체리벨님은 왜 체리벨이에요?… #질문상자 #익명질문모집중 http,Korean,1.2965115308761597
85,@user Hai ragione,Italian,2.0554378032684326
86,@user 爱了爱了,Chinese,3.491734027862549
87,"@user Exactly. I don’t send nudes. No reason, we grown pull up. Lol.",English,3.9909658432006836
88,아니 전신 안그려지는 것도 있고 어차피 사복이라,Korean,2.3588716983795166
89,단뎀 하실 분 예진 님 계셔요,Korean,2.0104100704193115
90,@user 름상 화이팅!!!!!!,Korean,1.7947139739990234
91,한 글자 닉네임 해보고 싶었어...,Korean,1.7119319438934326
92,Esse ano eu encerro com chave de ouro namorando se tudo der certo k,Portuguese,3.601827383041382
93,@user 🖕🏽,Chinese,1.4565331935882568
94,@user @user @user @user @user @user Este wey quiere público para su cuenta pedorra,Spanish,2.7477378845214844
95,@user Si tu fais des old el passo pq pas,French,2.513641119003296
96,일본 스너프 필름 공론화 해시 입니다!!!!! 탐라에서 이해시를 목격하신 당신!!!!! #残虐AV反対 딱30초만 총공에 투자해주세요!!!!! #AV強要問題 알티복붙으로 연대부탁드립니다!!!!!,Korean,1.4165499210357666
97,@user وحنا صياحين ومالك شغل ومحد طلب منك تحبنا,Arabic,3.1825296878814697
98,@user @user @user @BTS_twt We hebben het over fucking shipnamen gehad... #BBMAsTopSocial BTS @BTS_twt,Dutch,2.465054988861084
