,text,language,predictions
0,@user الأشقياء الطيبين 🤭,Arabic,2.4737617492675783
1,@user Un caffè? ☕😁😁😁,Italian,1.6399364471435547
2,@user girl!! we support u no matter what 😚,English,1.9846027374267579
3,@user 아..,Korean,1.3407630920410156
4,@user @user Pouaaaah jle chantais taleur arrête elle était bien,French,2.3954601287841797
5,@user @user je rêve ??,French,1.827946090698242
6,"@jndkgrf Ik schaam me te zeggen dat ik ooit een regelmatige PVDA-stemmer was. Ongelofelijk nu, ik vertel dit nooit aan mijn kinderen.",Dutch,2.0179473876953127
7,"thank u, nxt",English,2.0789714813232423
8,@user Uit welk wijs boek komt dit citaat?,Dutch,1.154167366027832
9,@user ma che cosa HO FATTO,Italian,2.9931543350219725
10,Horrível!,Portuguese,1.287418270111084
11,@user 안녕하세요 트친소 찾아 왔습니다아!,Korean,1.7093116760253906
12,在教室打飞机，站累了，就搬凳子坐下，站着坐着都是你爸爸，听爸爸的话哦！骚货，爸爸爱你。 http,Chinese,3.240357208251953
13,@vanranstmarc @user Van wie komt dat wetsvoorstel eigenlijk?,Dutch,1.3165973663330077
14,#1Ene 1942 se firma la declaración de la Naciones Unidas. #60AñosDeRevoluciónCubana #Feliz2019 http,Spanish,1.2161139488220214
15,사람이 힘들면 걍 다른사람이 행복한게 화나는거같음,Korean,2.7080812454223633
16,@user Puta madre ando igual,Spanish,2.221973419189453
17,@user 배려 감사드립니다~&gt;&lt; 아직은 존댓말이 편해서요! 비포우캔님도 편하게 말씀해주세요😍,Korean,2.3157787322998047
18,Brandon McCarthy was cheated out of a World Series ring.,English,1.1970941543579101
19,"'मेट्रो मैन' भी केजरीवाल के खिलाफ, बोले- मुफ्त यात्रा से बर्बाद हो जाएगी मेट्रो http",Hindi,1.2947243690490722
20,@user mostro a realidade,Portuguese,1.4905733108520507
21,@user Je schrikt je als aanstaande vader tot kapot 😱,Dutch,3.671152114868164
22,@user 20日！,Chinese,1.2658452033996581
23,@user @jose_simao @user Babaca. Vc tem sangue do que? Imaturo...,Portuguese,2.960798645019531
24,@user Gracias 😭😭😭,Spanish,1.6616985321044921
25,@user أي الذي ينتقد ويكتب ملاحظات على الكتاب، أو الشخص الشكس المجادل,Arabic,1.3789073944091796
26,@user عجبتني جاري السرقه,Arabic,2.114635467529297
27,@ 누가 무대에서 버릇없게 스케이트보드 타고 다니래 ㄴ우리 와기들도 데뷔 때는 더한 걸 ㄴ어쩌라고요 그게 아니자나요,Korean,1.455941390991211
28,@user ماتتت توني شفتها,Arabic,1.540891456604004
29,"@user graag gedaan, je verdiend het Geke !",Dutch,2.6546159744262696
30,"Attenzione, amici sovranisti, il nemico del popolo di oggi è Antonio #Candreva. Ripeto, Antonio Candreva. #Minerbe",Italian,1.399591064453125
31,1 Ongeval wegvervoer letsel Burgemeester van Beresteijnlaan Capelle aan den IJss http,Dutch,1.3421804428100585
32,@user Tu prends ça et tu découpe du papier tu met t’es réponse et tu le glisse dans la recharge http,French,1.1028348922729492
33,اللهم أنت أعلمُ بي من نفسي فيسر لي أمري #١٧رمضان,Arabic,2.51040096282959
34,"estoy en la mía, no jodo a nadie, no rompan las bolas",Spanish,2.4674787521362305
35,You never know how much you needed an @Nas until it drops #TheLostTapes2 🔥🔥🔥,English,1.8567497253417968
36,Merci seigneur 🙏🏾,French,1.7179853439331054
37,@PublimetroChile Que manera de cagar fuera del tiesto este humano,Spanish,1.8870540618896485
38,야 그냥 사귄다고 해 ... http,Korean,1.7497926712036134
39,@thehill give me a break. this headline is so stupid. you think obama didnt make a shit ton of money off his presidency?,English,1.3494924545288085
40,@user 欧哥祝你欧上加欧,Chinese,3.5298423767089844
41,#LeonardoDiCaprio habla en la #ONU sobre el #CambioClimatico @LeoDiCaprio @user @climadecambios http,Spanish,1.2361842155456544
42,#WWESSD ماشاء الله مب واضح التمثيل كأنه حقيقة http,Arabic,1.4122584342956543
43,@user @user @user 40 anni e portarli bene,Italian,1.5254491806030273
44,@user @user L’odio va segnalato sempre. Io mi vergognerei di augurare la morte se se fossi in te http,Italian,2.1236101150512696
45,금리인하 진퇴양난..집값 잡기 포기냐 vs 경기부양 포기냐 | 다음 뉴스 http,Korean,1.1066402435302733
46,@user @narendramodi मान गई की #चौकीदार_ही_चोर_है की अभी और सबूत चाहिए?,Hindi,1.4842029571533204
47,"लोग दिल्ली जाते हैं, टिकट मांगने गिर्राजसिंह गए हैं लौटाने - कन्हैया कुमार",Hindi,1.2104520797729492
48,"@user @Le_Figaro Marciare divisi, colpire Uniti.",Italian,1.3172653198242188
49,#puma es ahora una tendencia en #Temuco http http,Spanish,1.095055389404297
50,@user @user @PSG_inside Ou alors dernière année sous l'ère Qatari et ils lâchent le pactole avant la CDM 2022. 🤪Mdr 😂😂 #2nddegre,French,1.264140510559082
51,@user @user Archeologie ook niet. http,Dutch,1.3174686431884766
52,@user 여보는 그 .. 야구보는 여보와 안보는 여보가 인격이 두개같어,Korean,1.3175491333007812
53,@user لوزه الالالافيو,Arabic,1.204745388031006
54,#الشريقي_رئيساً_للمركز_الوطني_للتشغيل رجالا احترمو الأمانة. وخدمو وطنهم بدون تفاني. #باحثون_عن_عمل_يستغيثون23,Arabic,1.5326839447021485
55,"@KailashOnline जन्मदिन की हार्दिक बधाई शुभकामनाएं,, जय हो 💐💐💐🎂🎂",Hindi,2.2757421493530274
56,ما كسرني فراق ولا ذبحني غياب القهر ليه اصفي نيتي وانصدم ؟,Arabic,3.7119556427001954
57,Ben benieuwd wat ze er van gaan vinden 😭😭,Dutch,1.699227523803711
58,"@user Adotei ele, só falta treinar",Portuguese,2.515899085998535
59,@user It already got weird,English,1.6335012435913085
60,자기 꿈은 정치인이라며 늘 양말을 빨파로 맞춰신고오던 학생회장 언니 http,Korean,1.3590208053588868
61,Para q busco cosas que sé que me van a hacer mal🤦🏼‍♀️No aprendo más,Spanish,3.534061050415039
62,粉丝到1000后，发全版,Chinese,1.8409435272216796
63,بعض الناس اذا زعلوا ودك تقولهم واخييراً.,Arabic,1.9674686431884765
64,@user On aura le temps plus tard ok ?😔,French,2.643810272216797
65,@user @user ههههههاي,Arabic,1.3083990097045899
66,Em Iconha parece que passou um furacão e destruiu tudo. Que tristeza 😓,Portuguese,2.0598472595214843
67,Ces fdp de Monaco ils achètent tous les joueurs du monde pour se faire poutrer par tout le monde cheh,French,1.23963623046875
68,इस वीडियो जरूर देखें जी हो सके कहीं आप जी काम आ जाए http,Hindi,1.5315216064453125
69,You should be sad di Halsey&gt; Ogni canzone cacciata fino ad oggi dai pischelli americani,Italian,1.3317073822021483
70,"कोई भी इंसान उसी व्यक्ति की बातें चुपचाप सुनता है, जिसे खो देने का डर सबसे ज्यादा होता है..!!",Hindi,2.1586477279663088
71,실물 궁금쓰,Korean,1.631260299682617
72,fuck going outside today,English,1.9184608459472656
73,@user Cos'è che ha fatto?!? http,Italian,1.6947927474975586
74,@user Netwerken!!,Dutch,1.522881317138672
75,@CNN 华为的营业额确实很大，但是他的背后是整个国家人才支撑体系。这点 已经有人注意到了,Chinese,1.3059510231018066
76,@user انا بفكر في مصر,Arabic,1.5055683135986329
77,"pqp eu tenho um penhasco pelo wayv mds,,,,,,,,que talento",Portuguese,2.1252622604370117
78,@user सालों की म@%@%,Hindi,3.3885334014892576
79,تحت تاثير اغنيه 🎻,Arabic,1.1480571746826171
80,شنو الافضل برايكم ؟!! ١-حب . خطوبه . زواج ٢-خطوبه . حب . زواج أنا عن نفسي أشوف شاورما . بطاط . بيبسي,Arabic,2.3888980865478517
81,"Espero no llorar al rato, desde que entre al cuarto de mi mama no eh dejado de reir con ella y mi hermana jajaja",Spanish,3.862441635131836
82,NIEUW! ‘Meerderheid in de maak voor nieuw competitieformat Jupiler Pro League’ http Het is nog altijd #aagent #buffalos,Dutch,1.0228744506835938
83,نبي حوشنا 💔,Arabic,3.6107486724853515
84,모두의 익명 질문을 모집 중! 최근 답변한 질문 ● 체리벨님은 왜 체리벨이에요?… #질문상자 #익명질문모집중 http,Korean,1.4287654876708984
85,@user Hai ragione,Italian,2.4125741958618163
86,@user 爱了爱了,Chinese,3.5521610260009764
87,"@user Exactly. I don’t send nudes. No reason, we grown pull up. Lol.",English,3.736134719848633
88,아니 전신 안그려지는 것도 있고 어차피 사복이라,Korean,1.7675952911376953
89,단뎀 하실 분 예진 님 계셔요,Korean,2.0333709716796875
90,@user 름상 화이팅!!!!!!,Korean,2.0068546295166017
91,한 글자 닉네임 해보고 싶었어...,Korean,1.7650671005249023
92,Esse ano eu encerro com chave de ouro namorando se tudo der certo k,Portuguese,3.58593864440918
93,@user 🖕🏽,Chinese,1.4706671714782715
94,@user @user @user @user @user @user Este wey quiere público para su cuenta pedorra,Spanish,2.6161874771118163
95,@user Si tu fais des old el passo pq pas,French,1.861029815673828
96,일본 스너프 필름 공론화 해시 입니다!!!!! 탐라에서 이해시를 목격하신 당신!!!!! #残虐AV反対 딱30초만 총공에 투자해주세요!!!!! #AV強要問題 알티복붙으로 연대부탁드립니다!!!!!,Korean,1.640313720703125
97,@user وحنا صياحين ومالك شغل ومحد طلب منك تحبنا,Arabic,3.211069869995117
98,@user @user @user @BTS_twt We hebben het over fucking shipnamen gehad... #BBMAsTopSocial BTS @BTS_twt,Dutch,2.1438678741455077
99,@Mov5Stelle I sogni aiutano a vivere o la vita aiuta a sognare? Qui mi sa che la sveglia sarà tragica...,Italian,2.3655717849731444
100,قال رسول الله صلى الله عليه وسلم من أحب أن يبسط له في رزقه وينسأ له في أثره فليصل رحمه -- صحيح البخاري #Hadith #ﷺ #ﷺ,Arabic,1.3693705558776856
101,“Fine Art” by Mike Lopez Jr. http,English,1.1673242568969726
102,@user Lo tengo claro desde q me enganché🤣🤣🤣🤣,Spanish,1.6348079681396483
103,여신이 영어로 뭐냐고 물어봤는데... #쭈서기 http,Korean,1.3916540145874023
104,#新個人資料相片,Chinese,1.5511024475097657
105,Bon je vais me couper les cheveux plus court c’est décidé,French,2.1702507019042967
106,@user @user अरे कुछ भी नहीं डेटा पैक 😂😂बोलो तो करवा दूंगा कोई बड़ी बात नाही है फ्रेंड्स में सब चलता है,Hindi,1.7019258499145509
107,@user اي اكو اصلا الصورة اني ماخذتها هسه قرري والمكان علية,Arabic,2.070431137084961
108,@viniciussmunhoz Vou confiar em vc @viniciussmunhoz 😁😁😁,Portuguese,2.3327253341674803
109,@user Lamento mucho eso!!,Spanish,2.33471565246582
110,@user trop hihi j’ai hâte🥰🥰🥰 je veux me faire tatouer une épée aussi mais + tard,French,2.6721141815185545
111,@user cosa hai tirato fuori...😲,Italian,2.8040252685546876
112,Feliz ano novo ✨❤️,Portuguese,2.422730255126953
113,@user Je suis choqueeeeee,French,2.78748779296875
114,"@user Il n'a pas demandé de les bombarder comme de ""vulgaires""Irakiens ?",French,1.3323226928710938
115,"Quelqu'un aurait un lien pour bring the soul vostfr ? Parce que j'ai beau chercher, je trouve pas 😭😭",French,1.5065677642822266
116,@mirai_nagasu @USFigureSkating You are a beautiful badass and I wish you a speedy recovery! ❤️,English,3.823311996459961
117,Wát een beelden: invaller Reiziger pakt drie penalty's en scoort voor Ajax O19 : http #Ajax,Dutch,1.167312240600586
118,"@user @user If you get upset when people kill last, You genuinely smell like boiled penny loafers",English,1.922098159790039
119,"طموحاتي ولو لـفّ الزمان ودار احس بحجمها دايـم واصدقها .. سواءً جار هذا الوقت او ماجار بعون الله ""محققها . . محققها",Arabic,1.7281744003295898
