,text,language,predictions
0,@user الأشقياء الطيبين 🤭,Arabic,2.3442756066197643
1,@user Un caffè? ☕😁😁😁,Italian,1.871945557230632
2,@user girl!! we support u no matter what 😚,English,2.8333688112938145
3,@user 아..,Korean,1.2248034698855577
4,@user @user Pouaaaah jle chantais taleur arrête elle était bien,French,2.1444325303714846
5,@user @user je rêve ??,French,2.3893076770444246
6,"@jndkgrf Ik schaam me te zeggen dat ik ooit een regelmatige PVDA-stemmer was. Ongelofelijk nu, ik vertel dit nooit aan mijn kinderen.",Dutch,2.463613581397774
7,"thank u, nxt",English,1.957083667435989
8,@user Uit welk wijs boek komt dit citaat?,Dutch,1.0890977364514909
9,@user ma che cosa HO FATTO,Italian,2.9178383985697116
10,Horrível!,Portuguese,1.3136197901996673
11,@user 안녕하세요 트친소 찾아 왔습니다아!,Korean,1.657364104038633
12,在教室打飞机，站累了，就搬凳子坐下，站着坐着都是你爸爸，听爸爸的话哦！骚货，爸爸爱你。 http,Chinese,4.041133769913618
13,@vanranstmarc @user Van wie komt dat wetsvoorstel eigenlijk?,Dutch,1.1339663351062277
14,#1Ene 1942 se firma la declaración de la Naciones Unidas. #60AñosDeRevoluciónCubana #Feliz2019 http,Spanish,1.082132177273986
15,사람이 힘들면 걍 다른사람이 행복한게 화나는거같음,Korean,2.2476497264582544
16,@user Puta madre ando igual,Spanish,2.3081541769381237
17,@user 배려 감사드립니다~&gt;&lt; 아직은 존댓말이 편해서요! 비포우캔님도 편하게 말씀해주세요😍,Korean,2.418758360824465
18,Brandon McCarthy was cheated out of a World Series ring.,English,1.1450054247929617
19,"'मेट्रो मैन' भी केजरीवाल के खिलाफ, बोले- मुफ्त यात्रा से बर्बाद हो जाएगी मेट्रो http",Hindi,1.0975209919630127
20,@user mostro a realidade,Portuguese,1.2461223383239801
21,@user Je schrikt je als aanstaande vader tot kapot 😱,Dutch,3.2239328655095756
22,@user 20日！,Chinese,1.2944119144049768
23,@user @jose_simao @user Babaca. Vc tem sangue do que? Imaturo...,Portuguese,2.8313969354512527
24,@user Gracias 😭😭😭,Spanish,1.4681586988058748
