,text,language,predictions
0,@user الأشقياء الطيبين 🤭,Arabic,2.4411722353913694
1,@user Un caffè? ☕😁😁😁,Italian,1.9165679193782208
2,@user girl!! we support u no matter what 😚,English,2.900650466058215
3,@user 아..,Korean,1.364331712113012
4,@user @user Pouaaaah jle chantais taleur arrête elle était bien,French,1.5483566089622722
5,@user @user je rêve ??,French,1.5761238008374827
6,"@jndkgrf Ik schaam me te zeggen dat ik ooit een regelmatige PVDA-stemmer was. Ongelofelijk nu, ik vertel dit nooit aan mijn kinderen.",Dutch,2.625566139753011
7,"thank u, nxt",English,2.450254001982704
8,@user Uit welk wijs boek komt dit citaat?,Dutch,1.362030642394059
9,@user ma che cosa HO FATTO,Italian,2.838204880439264
10,Horrível!,Portuguese,1.5010984543502346
11,@user 안녕하세요 트친소 찾아 왔습니다아!,Korean,2.2047136793278037
12,在教室打飞机，站累了，就搬凳子坐下，站着坐着都是你爸爸，听爸爸的话哦！骚货，爸爸爱你。 http,Chinese,3.8393462396657436
13,@vanranstmarc @user Van wie komt dat wetsvoorstel eigenlijk?,Dutch,1.351011474464757
14,#1Ene 1942 se firma la declaración de la Naciones Unidas. #60AñosDeRevoluciónCubana #Feliz2019 http,Spanish,1.255287850157501
15,사람이 힘들면 걍 다른사람이 행복한게 화나는거같음,Korean,2.3888872406141264
16,@user Puta madre ando igual,Spanish,2.675141669215809
17,@user 배려 감사드립니다~&gt;&lt; 아직은 존댓말이 편해서요! 비포우캔님도 편하게 말씀해주세요😍,Korean,2.7331436907963864
18,Brandon McCarthy was cheated out of a World Series ring.,English,1.2826206861097158
19,"'मेट्रो मैन' भी केजरीवाल के खिलाफ, बोले- मुफ्त यात्रा से बर्बाद हो जाएगी मेट्रो http",Hindi,1.2739487218311263
20,@user mostro a realidade,Portuguese,1.4884124223875725
21,@user Je schrikt je als aanstaande vader tot kapot 😱,Dutch,4.314573437290591
22,@user 20日！,Chinese,1.465994592578876
23,@user @jose_simao @user Babaca. Vc tem sangue do que? Imaturo...,Portuguese,3.1823420154217135
24,@user Gracias 😭😭😭,Spanish,2.2321329005077484
25,@user أي الذي ينتقد ويكتب ملاحظات على الكتاب، أو الشخص الشكس المجادل,Arabic,1.904874134613122
26,@user عجبتني جاري السرقه,Arabic,1.6980219892925796
27,@ 누가 무대에서 버릇없게 스케이트보드 타고 다니래 ㄴ우리 와기들도 데뷔 때는 더한 걸 ㄴ어쩌라고요 그게 아니자나요,Korean,1.9355787439396064
28,@user ماتتت توني شفتها,Arabic,1.3923088885092172
29,"@user graag gedaan, je verdiend het Geke !",Dutch,3.031152648771859
30,"Attenzione, amici sovranisti, il nemico del popolo di oggi è Antonio #Candreva. Ripeto, Antonio Candreva. #Minerbe",Italian,1.33252944770746
31,1 Ongeval wegvervoer letsel Burgemeester van Beresteijnlaan Capelle aan den IJss http,Dutch,1.3720560285251566
32,@user Tu prends ça et tu découpe du papier tu met t’es réponse et tu le glisse dans la recharge http,French,1.1587890287307931
33,اللهم أنت أعلمُ بي من نفسي فيسر لي أمري #١٧رمضان,Arabic,2.114940948567348
34,"estoy en la mía, no jodo a nadie, no rompan las bolas",Spanish,3.2355207871887446
35,You never know how much you needed an @Nas until it drops #TheLostTapes2 🔥🔥🔥,English,2.4266767813900003
36,Merci seigneur 🙏🏾,French,1.4569067834975185
37,@PublimetroChile Que manera de cagar fuera del tiesto este humano,Spanish,2.6784894005133753
38,야 그냥 사귄다고 해 ... http,Korean,2.901026954748719
39,@thehill give me a break. this headline is so stupid. you think obama didnt make a shit ton of money off his presidency?,English,1.5779037457555503
40,@user 欧哥祝你欧上加欧,Chinese,3.743639080344528
41,#LeonardoDiCaprio habla en la #ONU sobre el #CambioClimatico @LeoDiCaprio @user @climadecambios http,Spanish,1.2938616997441308
42,#WWESSD ماشاء الله مب واضح التمثيل كأنه حقيقة http,Arabic,1.5192553056259483
43,@user @user @user 40 anni e portarli bene,Italian,1.6747830841994449
44,@user @user L’odio va segnalato sempre. Io mi vergognerei di augurare la morte se se fossi in te http,Italian,2.8337233350350353
45,금리인하 진퇴양난..집값 잡기 포기냐 vs 경기부양 포기냐 | 다음 뉴스 http,Korean,1.1661116953960957
46,@user @narendramodi मान गई की #चौकीदार_ही_चोर_है की अभी और सबूत चाहिए?,Hindi,1.9714136510911522
47,"लोग दिल्ली जाते हैं, टिकट मांगने गिर्राजसिंह गए हैं लौटाने - कन्हैया कुमार",Hindi,1.3304151197039653
48,"@user @Le_Figaro Marciare divisi, colpire Uniti.",Italian,1.2688178485308246
49,#puma es ahora una tendencia en #Temuco http http,Spanish,1.0260816888382358
50,@user @user @PSG_inside Ou alors dernière année sous l'ère Qatari et ils lâchent le pactole avant la CDM 2022. 🤪Mdr 😂😂 #2nddegre,French,1.276437332536705
51,@user @user Archeologie ook niet. http,Dutch,1.3886889893938634
52,@user 여보는 그 .. 야구보는 여보와 안보는 여보가 인격이 두개같어,Korean,1.521583806331353
53,@user لوزه الالالافيو,Arabic,1.1294124883754002
54,#الشريقي_رئيساً_للمركز_الوطني_للتشغيل رجالا احترمو الأمانة. وخدمو وطنهم بدون تفاني. #باحثون_عن_عمل_يستغيثون23,Arabic,1.2849967594349805
55,"@KailashOnline जन्मदिन की हार्दिक बधाई शुभकामनाएं,, जय हो 💐💐💐🎂🎂",Hindi,2.9886454898598704
56,ما كسرني فراق ولا ذبحني غياب القهر ليه اصفي نيتي وانصدم ؟,Arabic,3.534227476922164
57,Ben benieuwd wat ze er van gaan vinden 😭😭,Dutch,2.0140525938331564
58,"@user Adotei ele, só falta treinar",Portuguese,2.732495833559261
59,@user It already got weird,English,1.9703797778512113
60,자기 꿈은 정치인이라며 늘 양말을 빨파로 맞춰신고오던 학생회장 언니 http,Korean,1.8644556950564375
61,Para q busco cosas que sé que me van a hacer mal🤦🏼‍♀️No aprendo más,Spanish,3.48204900900606
62,粉丝到1000后，发全版,Chinese,1.90943215428261
63,بعض الناس اذا زعلوا ودك تقولهم واخييراً.,Arabic,2.3651093709876587
64,@user On aura le temps plus tard ok ?😔,French,2.870955943661741
65,@user @user ههههههاي,Arabic,1.7711739081060673
66,Em Iconha parece que passou um furacão e destruiu tudo. Que tristeza 😓,Portuguese,1.6616725433345643
67,Ces fdp de Monaco ils achètent tous les joueurs du monde pour se faire poutrer par tout le monde cheh,French,1.3698938401641818
68,इस वीडियो जरूर देखें जी हो सके कहीं आप जी काम आ जाए http,Hindi,1.9003143885179132
69,You should be sad di Halsey&gt; Ogni canzone cacciata fino ad oggi dai pischelli americani,Italian,1.3737184805816751
70,"कोई भी इंसान उसी व्यक्ति की बातें चुपचाप सुनता है, जिसे खो देने का डर सबसे ज्यादा होता है..!!",Hindi,2.5177915204107
71,실물 궁금쓰,Korean,1.9269273049445856
72,fuck going outside today,English,2.147699940559802
73,@user Cos'è che ha fatto?!? http,Italian,1.6609537747595025
74,@user Netwerken!!,Dutch,1.4830408086117695
75,@CNN 华为的营业额确实很大，但是他的背后是整个国家人才支撑体系。这点 已经有人注意到了,Chinese,1.4334852289573004
76,@user انا بفكر في مصر,Arabic,1.8016664867773693
77,"pqp eu tenho um penhasco pelo wayv mds,,,,,,,,que talento",Portuguese,2.288657357438158
