,text,language,predictions
0,@user الأشقياء الطيبين 🤭,Arabic,1.2410188093389483
1,@user Un caffè? ☕😁😁😁,Italian,1.5032568952622682
2,@user girl!! we support u no matter what 😚,English,1.341109290980908
3,@user 아..,Korean,1.420693189560308
4,@user @user Pouaaaah jle chantais taleur arrête elle était bien,French,1.5526294681651407
5,@user @user je rêve ??,French,1.4026823019620314
6,"@jndkgrf Ik schaam me te zeggen dat ik ooit een regelmatige PVDA-stemmer was. Ongelofelijk nu, ik vertel dit nooit aan mijn kinderen.",Dutch,1.6697206070195874
7,"thank u, nxt",English,2.354725129516513
8,@user Uit welk wijs boek komt dit citaat?,Dutch,1.187053437113515
9,@user ma che cosa HO FATTO,Italian,1.499401121858228
10,Horrível!,Portuguese,1.1002332264187373
11,@user 안녕하세요 트친소 찾아 왔습니다아!,Korean,1.6942384689009777
12,在教室打飞机，站累了，就搬凳子坐下，站着坐着都是你爸爸，听爸爸的话哦！骚货，爸爸爱你。 http,Chinese,2.10550955209051
13,@vanranstmarc @user Van wie komt dat wetsvoorstel eigenlijk?,Dutch,1.0381792741241842
14,#1Ene 1942 se firma la declaración de la Naciones Unidas. #60AñosDeRevoluciónCubana #Feliz2019 http,Spanish,1.0
15,사람이 힘들면 걍 다른사람이 행복한게 화나는거같음,Korean,2.054967280455997
16,@user Puta madre ando igual,Spanish,1.8636859507119168
17,@user 배려 감사드립니다~&gt;&lt; 아직은 존댓말이 편해서요! 비포우캔님도 편하게 말씀해주세요😍,Korean,2.0609338694597827
18,Brandon McCarthy was cheated out of a World Series ring.,English,1.0
19,"'मेट्रो मैन' भी केजरीवाल के खिलाफ, बोले- मुफ्त यात्रा से बर्बाद हो जाएगी मेट्रो http",Hindi,1.0
20,@user mostro a realidade,Portuguese,1.5754976411049157
21,@user Je schrikt je als aanstaande vader tot kapot 😱,Dutch,2.0097711613385325
22,@user 20日！,Chinese,1.4088524271050535
23,@user @jose_simao @user Babaca. Vc tem sangue do que? Imaturo...,Portuguese,1.084712723957123
24,@user Gracias 😭😭😭,Spanish,2.306299855654199
25,@user أي الذي ينتقد ويكتب ملاحظات على الكتاب، أو الشخص الشكس المجادل,Arabic,1.0923716430407284
26,@user عجبتني جاري السرقه,Arabic,1.498152640057117
27,@ 누가 무대에서 버릇없게 스케이트보드 타고 다니래 ㄴ우리 와기들도 데뷔 때는 더한 걸 ㄴ어쩌라고요 그게 아니자나요,Korean,1.3426882812324146
28,@user ماتتت توني شفتها,Arabic,2.237930576422589
29,"@user graag gedaan, je verdiend het Geke !",Dutch,1.4597631720695154
30,"Attenzione, amici sovranisti, il nemico del popolo di oggi è Antonio #Candreva. Ripeto, Antonio Candreva. #Minerbe",Italian,1.0759419649353519
