,text,language,predictions
0,@user الأشقياء الطيبين 🤭,Arabic,1.0
1,@user Un caffè? ☕😁😁😁,Italian,1.0
2,@user girl!! we support u no matter what 😚,English,2.155824661254883
3,@user 아..,Korean,1.0
4,@user @user Pouaaaah jle chantais taleur arrête elle était bien,French,1.0
5,@user @user je rêve ??,French,1.0
6,"@jndkgrf Ik schaam me te zeggen dat ik ooit een regelmatige PVDA-stemmer was. Ongelofelijk nu, ik vertel dit nooit aan mijn kinderen.",Dutch,1.0
7,"thank u, nxt",English,1.0
8,@user Uit welk wijs boek komt dit citaat?,Dutch,1.0
9,@user ma che cosa HO FATTO,Italian,2.1890881061553955
10,Horrível!,Portuguese,1.0
11,@user 안녕하세요 트친소 찾아 왔습니다아!,Korean,1.0
12,在教室打飞机，站累了，就搬凳子坐下，站着坐着都是你爸爸，听爸爸的话哦！骚货，爸爸爱你。 http,Chinese,5.0
13,@vanranstmarc @user Van wie komt dat wetsvoorstel eigenlijk?,Dutch,1.0
14,#1Ene 1942 se firma la declaración de la Naciones Unidas. #60AñosDeRevoluciónCubana #Feliz2019 http,Spanish,1.0
15,사람이 힘들면 걍 다른사람이 행복한게 화나는거같음,Korean,1.0
16,@user Puta madre ando igual,Spanish,1.0
17,@user 배려 감사드립니다~&gt;&lt; 아직은 존댓말이 편해서요! 비포우캔님도 편하게 말씀해주세요😍,Korean,1.0
18,Brandon McCarthy was cheated out of a World Series ring.,English,1.0
19,"'मेट्रो मैन' भी केजरीवाल के खिलाफ, बोले- मुफ्त यात्रा से बर्बाद हो जाएगी मेट्रो http",Hindi,1.0
20,@user mostro a realidade,Portuguese,1.0
21,@user Je schrikt je als aanstaande vader tot kapot 😱,Dutch,5.0
22,@user 20日！,Chinese,1.0
23,@user @jose_simao @user Babaca. Vc tem sangue do que? Imaturo...,Portuguese,3.475506544113159
24,@user Gracias 😭😭😭,Spanish,1.0
25,@user أي الذي ينتقد ويكتب ملاحظات على الكتاب، أو الشخص الشكس المجادل,Arabic,1.0
26,@user عجبتني جاري السرقه,Arabic,1.0
27,@ 누가 무대에서 버릇없게 스케이트보드 타고 다니래 ㄴ우리 와기들도 데뷔 때는 더한 걸 ㄴ어쩌라고요 그게 아니자나요,Korean,1.0
28,@user ماتتت توني شفتها,Arabic,1.0
29,"@user graag gedaan, je verdiend het Geke !",Dutch,3.7255239486694336
30,"Attenzione, amici sovranisti, il nemico del popolo di oggi è Antonio #Candreva. Ripeto, Antonio Candreva. #Minerbe",Italian,1.0
31,1 Ongeval wegvervoer letsel Burgemeester van Beresteijnlaan Capelle aan den IJss http,Dutch,1.0
32,@user Tu prends ça et tu découpe du papier tu met t’es réponse et tu le glisse dans la recharge http,French,1.0
33,اللهم أنت أعلمُ بي من نفسي فيسر لي أمري #١٧رمضان,Arabic,1.0
34,"estoy en la mía, no jodo a nadie, no rompan las bolas",Spanish,3.4718477725982666
35,You never know how much you needed an @Nas until it drops #TheLostTapes2 🔥🔥🔥,English,1.0
36,Merci seigneur 🙏🏾,French,1.0
37,@PublimetroChile Que manera de cagar fuera del tiesto este humano,Spanish,3.0137107372283936
38,야 그냥 사귄다고 해 ... http,Korean,3.403381824493408
39,@thehill give me a break. this headline is so stupid. you think obama didnt make a shit ton of money off his presidency?,English,1.0
40,@user 欧哥祝你欧上加欧,Chinese,4.984696388244629
41,#LeonardoDiCaprio habla en la #ONU sobre el #CambioClimatico @LeoDiCaprio @user @climadecambios http,Spanish,1.0
42,#WWESSD ماشاء الله مب واضح التمثيل كأنه حقيقة http,Arabic,1.0
43,@user @user @user 40 anni e portarli bene,Italian,1.0
44,@user @user L’odio va segnalato sempre. Io mi vergognerei di augurare la morte se se fossi in te http,Italian,2.7165067195892334
45,금리인하 진퇴양난..집값 잡기 포기냐 vs 경기부양 포기냐 | 다음 뉴스 http,Korean,1.0
46,@user @narendramodi मान गई की #चौकीदार_ही_चोर_है की अभी और सबूत चाहिए?,Hindi,1.0
47,"लोग दिल्ली जाते हैं, टिकट मांगने गिर्राजसिंह गए हैं लौटाने - कन्हैया कुमार",Hindi,1.0
48,"@user @Le_Figaro Marciare divisi, colpire Uniti.",Italian,1.0
49,#puma es ahora una tendencia en #Temuco http http,Spanish,1.0
50,@user @user @PSG_inside Ou alors dernière année sous l'ère Qatari et ils lâchent le pactole avant la CDM 2022. 🤪Mdr 😂😂 #2nddegre,French,1.0
51,@user @user Archeologie ook niet. http,Dutch,1.0
52,@user 여보는 그 .. 야구보는 여보와 안보는 여보가 인격이 두개같어,Korean,1.0
53,@user لوزه الالالافيو,Arabic,1.0
54,#الشريقي_رئيساً_للمركز_الوطني_للتشغيل رجالا احترمو الأمانة. وخدمو وطنهم بدون تفاني. #باحثون_عن_عمل_يستغيثون23,Arabic,1.0
55,"@KailashOnline जन्मदिन की हार्दिक बधाई शुभकामनाएं,, जय हो 💐💐💐🎂🎂",Hindi,2.2038283348083496
56,ما كسرني فراق ولا ذبحني غياب القهر ليه اصفي نيتي وانصدم ؟,Arabic,5.0
57,Ben benieuwd wat ze er van gaan vinden 😭😭,Dutch,1.0
58,"@user Adotei ele, só falta treinar",Portuguese,2.5895626544952393
59,@user It already got weird,English,1.0
60,자기 꿈은 정치인이라며 늘 양말을 빨파로 맞춰신고오던 학생회장 언니 http,Korean,1.0
61,Para q busco cosas que sé que me van a hacer mal🤦🏼‍♀️No aprendo más,Spanish,4.3638596534729
62,粉丝到1000后，发全版,Chinese,1.0
63,بعض الناس اذا زعلوا ودك تقولهم واخييراً.,Arabic,1.6845088005065918
64,@user On aura le temps plus tard ok ?😔,French,2.027560234069824
65,@user @user ههههههاي,Arabic,1.0
66,Em Iconha parece que passou um furacão e destruiu tudo. Que tristeza 😓,Portuguese,1.0
67,Ces fdp de Monaco ils achètent tous les joueurs du monde pour se faire poutrer par tout le monde cheh,French,1.0
68,इस वीडियो जरूर देखें जी हो सके कहीं आप जी काम आ जाए http,Hindi,1.0
69,You should be sad di Halsey&gt; Ogni canzone cacciata fino ad oggi dai pischelli americani,Italian,1.0
70,"कोई भी इंसान उसी व्यक्ति की बातें चुपचाप सुनता है, जिसे खो देने का डर सबसे ज्यादा होता है..!!",Hindi,1.8806720972061157
71,실물 궁금쓰,Korean,1.0
72,fuck going outside today,English,1.0
73,@user Cos'è che ha fatto?!? http,Italian,1.0
74,@user Netwerken!!,Dutch,1.0
75,@CNN 华为的营业额确实很大，但是他的背后是整个国家人才支撑体系。这点 已经有人注意到了,Chinese,1.0
76,@user انا بفكر في مصر,Arabic,1.0
77,"pqp eu tenho um penhasco pelo wayv mds,,,,,,,,que talento",Portuguese,1.0
78,@user सालों की म@%@%,Hindi,1.0000436305999756
79,تحت تاثير اغنيه 🎻,Arabic,1.0
80,شنو الافضل برايكم ؟!! ١-حب . خطوبه . زواج ٢-خطوبه . حب . زواج أنا عن نفسي أشوف شاورما . بطاط . بيبسي,Arabic,1.0
81,"Espero no llorar al rato, desde que entre al cuarto de mi mama no eh dejado de reir con ella y mi hermana jajaja",Spanish,5.0
82,NIEUW! ‘Meerderheid in de maak voor nieuw competitieformat Jupiler Pro League’ http Het is nog altijd #aagent #buffalos,Dutch,1.0
83,نبي حوشنا 💔,Arabic,1.0
84,모두의 익명 질문을 모집 중! 최근 답변한 질문 ● 체리벨님은 왜 체리벨이에요?… #질문상자 #익명질문모집중 http,Korean,1.0
85,@user Hai ragione,Italian,1.0
86,@user 爱了爱了,Chinese,5.0
87,"@user Exactly. I don’t send nudes. No reason, we grown pull up. Lol.",English,5.0
88,아니 전신 안그려지는 것도 있고 어차피 사복이라,Korean,1.0
89,단뎀 하실 분 예진 님 계셔요,Korean,1.0
90,@user 름상 화이팅!!!!!!,Korean,1.0
91,한 글자 닉네임 해보고 싶었어...,Korean,1.0
92,Esse ano eu encerro com chave de ouro namorando se tudo der certo k,Portuguese,5.0
93,@user 🖕🏽,Chinese,1.0
94,@user @user @user @user @user @user Este wey quiere público para su cuenta pedorra,Spanish,2.3199400901794434
95,@user Si tu fais des old el passo pq pas,French,1.0
96,일본 스너프 필름 공론화 해시 입니다!!!!! 탐라에서 이해시를 목격하신 당신!!!!! #残虐AV反対 딱30초만 총공에 투자해주세요!!!!! #AV強要問題 알티복붙으로 연대부탁드립니다!!!!!,Korean,1.0
97,@user وحنا صياحين ومالك شغل ومحد طلب منك تحبنا,Arabic,3.547424554824829
98,@user @user @user @BTS_twt We hebben het over fucking shipnamen gehad... #BBMAsTopSocial BTS @BTS_twt,Dutch,1.0
99,@Mov5Stelle I sogni aiutano a vivere o la vita aiuta a sognare? Qui mi sa che la sveglia sarà tragica...,Italian,1.0
100,قال رسول الله صلى الله عليه وسلم من أحب أن يبسط له في رزقه وينسأ له في أثره فليصل رحمه -- صحيح البخاري #Hadith #ﷺ #ﷺ,Arabic,1.0
101,“Fine Art” by Mike Lopez Jr. http,English,1.0
102,@user Lo tengo claro desde q me enganché🤣🤣🤣🤣,Spanish,1.0
103,여신이 영어로 뭐냐고 물어봤는데... #쭈서기 http,Korean,1.0
104,#新個人資料相片,Chinese,1.0
105,Bon je vais me couper les cheveux plus court c’est décidé,French,2.9717702865600586
106,@user @user अरे कुछ भी नहीं डेटा पैक 😂😂बोलो तो करवा दूंगा कोई बड़ी बात नाही है फ्रेंड्स में सब चलता है,Hindi,1.0
107,@user اي اكو اصلا الصورة اني ماخذتها هسه قرري والمكان علية,Arabic,1.411879301071167
108,@viniciussmunhoz Vou confiar em vc @viniciussmunhoz 😁😁😁,Portuguese,3.083500862121582
109,@user Lamento mucho eso!!,Spanish,1.8146367073059082
110,@user trop hihi j’ai hâte🥰🥰🥰 je veux me faire tatouer une épée aussi mais + tard,French,3.7046961784362793
111,@user cosa hai tirato fuori...😲,Italian,2.4804413318634033
112,Feliz ano novo ✨❤️,Portuguese,2.3138034343719482
113,@user Je suis choqueeeeee,French,1.0
114,"@user Il n'a pas demandé de les bombarder comme de ""vulgaires""Irakiens ?",French,1.0
115,"Quelqu'un aurait un lien pour bring the soul vostfr ? Parce que j'ai beau chercher, je trouve pas 😭😭",French,1.0
116,@mirai_nagasu @USFigureSkating You are a beautiful badass and I wish you a speedy recovery! ❤️,English,3.2238118648529053
117,Wát een beelden: invaller Reiziger pakt drie penalty's en scoort voor Ajax O19 : http #Ajax,Dutch,1.0
118,"@user @user If you get upset when people kill last, You genuinely smell like boiled penny loafers",English,1.0
119,"طموحاتي ولو لـفّ الزمان ودار احس بحجمها دايـم واصدقها .. سواءً جار هذا الوقت او ماجار بعون الله ""محققها . . محققها",Arabic,1.0
120,@user なんやて！！！！！！（衝撃）,Chinese,1.0
121,still pinching myself that i acc live in Amsterdam now !! MAKE YUR OWN DREAMS COME TRU BBYS,English,1.0
122,Mooi afgefloten ook,Dutch,2.4451098442077637
123,@user você!! 💕,Portuguese,1.0
124,@user أنا أستعملتها الجولة الماضية وتوفقت في ذالك بس يالغالي توني دخلت التطبيق وما لقيت التشكيلة هاذي في الفيديو ؟؟؟؟,Arabic,1.0
125,폰이 진짜 이상혀 터치가 뭐 지혼자 다해버리내,Korean,1.0
126,@user @user @user @user Wiskunde is niet je beste vak? Hoop ik?,Dutch,1.0
127,다큐멘터리 이런곳에서 본 거 같아 .... http,Korean,1.0
128,"@user @user @EliotHiggins @user yep, going after the White Helmets, check",English,1.0
129,스텔은 보통 인간보다 균형감각이 좋지.,Korean,1.0
130,"खुले दुश्मन से भी ख़तरनाक है, जो वोट हमारे दुश्मन को देता है, रात के अंधेरे में हमारे घरों में आग लगता है, और सुबह हमसे हमदर्दी जताता है!",Hindi,1.0
131,Wat een onrealistische serie is #hoogvliegers geld had beter besteed kunnen worden @EOnl @Kon_Luchtmacht,Dutch,1.0
132,@user 汪（燦笑（夠了,Chinese,1.5343148708343506
133,Falta mucho para morir?,Spanish,2.813943386077881
134,@user I'd like Twilight Princess please!,English,1.3097333908081055
135,@narendramodi आखिरकार ये इंतजार का समय समाप्त हुआ @narendramodi । #NirbhayaCase में आज इंसाफ मिला। देर आए दुरूस्त आए #JusticeForNirbhaya ।,Hindi,1.0
136,"El mejor del mundo reconociendo al Chicharito Hernández, y tú todo tronco criticándolo todo su carrera 😎🇲🇽 http",Spanish,1.0
137,納竿,Chinese,1.0
138,Il monumento a Giovanni Dalle Bande Nere sarebbe dovuto essere collocato dentro la basilica di San Lorenzo http,Italian,1.0
139,@user venha mesmo por favor 😔✌🏼,Portuguese,1.0
140,@user माता फातिमा शेख को विनम्र अभिवादन.,Hindi,4.031657695770264
141,@user هو عادي مافيها شي بالعكس لكن التوثيق هذا لييش؟؟,Arabic,1.0
142,@user Jij weet wat ik niet ken?,Dutch,1.0
143,Winx club wordt elk seizoen slechter!,Dutch,1.0
144,@user Ik vind hem ook top!,Dutch,1.2093452215194702
145,@user 可哀想…,Chinese,1.0
146,"@pankhuripathak मेडम संभल के ,आजम खान कलर पूछता हैं।",Hindi,1.0
147,@user @NOS Boa’s zijn nu leeuwen zonder tanden.,Dutch,1.0
148,@user عادي تطير وانت عند بيتكم,Arabic,2.1905739307403564
149,J’arrive devant la télé pour le money time ! #LIVBAR,French,1.0
150,"@user Tu as fais le tour des circoncis. Tu cherche l'exotisme, hummm.",French,1.4548187255859375
151,@user اذا وصلتي قوليلي ..,Arabic,2.313735246658325
152,(그냥 해시태그 만들어봄..╮(´-ω-`)╭) 우리쪽 사니와 둘은 능숙 시즈나는 있으면 있는대로 편히쓰고 타다시는 아마 거의 몸의 일부 그래도 예전보단 덜 쓰는편 #사니와의_단말기_사용실력,Korean,1.0
153,Cómo hago para decirle todo sin enloquecer? 🤔,Spanish,1.0
154,@user @robertosaviano @repubblica Saviano ne ha una identica. Come commenti?,Italian,1.0
155,"quero digitar tanta coisa aqui, mas vai dar tanta merda",Portuguese,1.0
156,"@user Y donde podemos ver la propuesta?, que proponen nuestros diputados?",Spanish,1.0
157,纽约市高度戒备准备应对伊朗可能进行的报复(图) http,Chinese,1.0
158,@user Et pourquoi pas en Swahili ou en Tagalog ?,French,1.0
159,"@user @user @user Ja je eigen terrein veranderen in fort knox omdat Nederland ""denkt"" goed op weg te zijn....",Dutch,1.0
160,"Het is weer fraai, vuilstort in het buitengebied http",Dutch,1.0
161,@user c'est valid on y peut rien!,French,1.5085142850875854
162,Est-ce que quelqu’un a des nouvelles d’Andrea Tafi ? #ParisRoubaix #LesRP #AntenneVieux,French,1.0
