,text,language,predictions
0,@user الأشقياء الطيبين 🤭,Arabic,2.2494752407073975
1,@user Un caffè? ☕😁😁😁,Italian,1.583946704864502
2,@user girl!! we support u no matter what 😚,English,2.6956984996795654
3,@user 아..,Korean,1.5122919082641602
4,@user @user Pouaaaah jle chantais taleur arrête elle était bien,French,2.2252285480499268
5,@user @user je rêve ??,French,2.032710075378418
6,"@jndkgrf Ik schaam me te zeggen dat ik ooit een regelmatige PVDA-stemmer was. Ongelofelijk nu, ik vertel dit nooit aan mijn kinderen.",Dutch,2.2577569484710693
7,"thank u, nxt",English,1.8682551383972168
8,@user Uit welk wijs boek komt dit citaat?,Dutch,1.1060165166854858
9,@user ma che cosa HO FATTO,Italian,2.4356586933135986
10,Horrível!,Portuguese,1.4441648721694946
11,@user 안녕하세요 트친소 찾아 왔습니다아!,Korean,1.7693061828613281
12,在教室打飞机，站累了，就搬凳子坐下，站着坐着都是你爸爸，听爸爸的话哦！骚货，爸爸爱你。 http,Chinese,3.6186869144439697
13,@vanranstmarc @user Van wie komt dat wetsvoorstel eigenlijk?,Dutch,1.2283329963684082
14,#1Ene 1942 se firma la declaración de la Naciones Unidas. #60AñosDeRevoluciónCubana #Feliz2019 http,Spanish,1.1067222356796265
15,사람이 힘들면 걍 다른사람이 행복한게 화나는거같음,Korean,2.433725595474243
16,@user Puta madre ando igual,Spanish,2.297215223312378
17,@user 배려 감사드립니다~&gt;&lt; 아직은 존댓말이 편해서요! 비포우캔님도 편하게 말씀해주세요😍,Korean,2.0492098331451416
18,Brandon McCarthy was cheated out of a World Series ring.,English,1.3044953346252441
19,"'मेट्रो मैन' भी केजरीवाल के खिलाफ, बोले- मुफ्त यात्रा से बर्बाद हो जाएगी मेट्रो http",Hindi,1.2047064304351807
20,@user mostro a realidade,Portuguese,1.5169744491577148
21,@user Je schrikt je als aanstaande vader tot kapot 😱,Dutch,3.349363088607788
22,@user 20日！,Chinese,1.4981151819229126
23,@user @jose_simao @user Babaca. Vc tem sangue do que? Imaturo...,Portuguese,3.0401480197906494
24,@user Gracias 😭😭😭,Spanish,1.8600488901138306
25,@user أي الذي ينتقد ويكتب ملاحظات على الكتاب، أو الشخص الشكس المجادل,Arabic,1.9644895792007446
26,@user عجبتني جاري السرقه,Arabic,1.6954529285430908
27,@ 누가 무대에서 버릇없게 스케이트보드 타고 다니래 ㄴ우리 와기들도 데뷔 때는 더한 걸 ㄴ어쩌라고요 그게 아니자나요,Korean,1.7785015106201172
28,@user ماتتت توني شفتها,Arabic,1.4137611389160156
29,"@user graag gedaan, je verdiend het Geke !",Dutch,2.7938897609710693
30,"Attenzione, amici sovranisti, il nemico del popolo di oggi è Antonio #Candreva. Ripeto, Antonio Candreva. #Minerbe",Italian,1.2268388271331787
31,1 Ongeval wegvervoer letsel Burgemeester van Beresteijnlaan Capelle aan den IJss http,Dutch,1.1412570476531982
32,@user Tu prends ça et tu découpe du papier tu met t’es réponse et tu le glisse dans la recharge http,French,1.0807867050170898
33,اللهم أنت أعلمُ بي من نفسي فيسر لي أمري #١٧رمضان,Arabic,2.158182382583618
34,"estoy en la mía, no jodo a nadie, no rompan las bolas",Spanish,2.910308361053467
35,You never know how much you needed an @Nas until it drops #TheLostTapes2 🔥🔥🔥,English,2.426654577255249
36,Merci seigneur 🙏🏾,French,1.381001353263855
37,@PublimetroChile Que manera de cagar fuera del tiesto este humano,Spanish,2.7158780097961426
38,야 그냥 사귄다고 해 ... http,Korean,2.387110710144043
39,@thehill give me a break. this headline is so stupid. you think obama didnt make a shit ton of money off his presidency?,English,1.4284721612930298
40,@user 欧哥祝你欧上加欧,Chinese,3.100680112838745
