text,language,predictions
@user الأشقياء الطيبين 🤭,Arabic,2.3240302
@user Un caffè? ☕😁😁😁,Italian,2.9173713
@user girl!! we support u no matter what 😚,English,2.6169548
@user 아..,Korean,2.661472
@user @user Pouaaaah jle chantais taleur arrête elle était bien,French,2.4765365
@user @user je rêve ??,French,2.6968014
"@jndkgrf Ik schaam me te zeggen dat ik ooit een regelmatige PVDA-stemmer was. Ongelofelijk nu, ik vertel dit nooit aan mijn kinderen.",Dutch,2.6068285
"thank u, nxt",English,2.8766406
@user Uit welk wijs boek komt dit citaat?,Dutch,2.848926
@user ma che cosa HO FATTO,Italian,2.7681181
Horrível!,Portuguese,2.3448172
@user 안녕하세요 트친소 찾아 왔습니다아!,Korean,3.0420487
在教室打飞机，站累了，就搬凳子坐下，站着坐着都是你爸爸，听爸爸的话哦！骚货，爸爸爱你。 http,Chinese,2.6910884
@vanranstmarc @user Van wie komt dat wetsvoorstel eigenlijk?,Dutch,2.5179024
#1Ene 1942 se firma la declaración de la Naciones Unidas. #60AñosDeRevoluciónCubana #Feliz2019 http,Spanish,2.6472664
사람이 힘들면 걍 다른사람이 행복한게 화나는거같음,Korean,2.7931166
@user Puta madre ando igual,Spanish,2.615703
@user 배려 감사드립니다~&gt;&lt; 아직은 존댓말이 편해서요! 비포우캔님도 편하게 말씀해주세요😍,Korean,2.6474519
Brandon McCarthy was cheated out of a World Series ring.,English,2.6849866
"'मेट्रो मैन' भी केजरीवाल के खिलाफ, बोले- मुफ्त यात्रा से बर्बाद हो जाएगी मेट्रो http",Hindi,2.6449785
@user mostro a realidade,Portuguese,2.4320788
@user Je schrikt je als aanstaande vader tot kapot 😱,Dutch,2.8435872
@user 20日！,Chinese,2.830985
@user @jose_simao @user Babaca. Vc tem sangue do que? Imaturo...,Portuguese,2.2624857
@user Gracias 😭😭😭,Spanish,2.716975
@user أي الذي ينتقد ويكتب ملاحظات على الكتاب، أو الشخص الشكس المجادل,Arabic,2.5292249
@user عجبتني جاري السرقه,Arabic,2.6181967
@ 누가 무대에서 버릇없게 스케이트보드 타고 다니래 ㄴ우리 와기들도 데뷔 때는 더한 걸 ㄴ어쩌라고요 그게 아니자나요,Korean,2.7327375
@user ماتتت توني شفتها,Arabic,2.4757836
"@user graag gedaan, je verdiend het Geke !",Dutch,2.9118392
"Attenzione, amici sovranisti, il nemico del popolo di oggi è Antonio #Candreva. Ripeto, Antonio Candreva. #Minerbe",Italian,2.5207074
1 Ongeval wegvervoer letsel Burgemeester van Beresteijnlaan Capelle aan den IJss http,Dutch,2.7933235
@user Tu prends ça et tu découpe du papier tu met t’es réponse et tu le glisse dans la recharge http,French,2.4983702
اللهم أنت أعلمُ بي من نفسي فيسر لي أمري #١٧رمضان,Arabic,2.5958674
"estoy en la mía, no jodo a nadie, no rompan las bolas",Spanish,2.7539427
You never know how much you needed an @Nas until it drops #TheLostTapes2 🔥🔥🔥,English,2.716875
Merci seigneur 🙏🏾,French,2.8959718
@PublimetroChile Que manera de cagar fuera del tiesto este humano,Spanish,2.486168
야 그냥 사귄다고 해 ... http,Korean,2.5802157
@thehill give me a break. this headline is so stupid. you think obama didnt make a shit ton of money off his presidency?,English,2.7270095
@user 欧哥祝你欧上加欧,Chinese,2.4532757
#LeonardoDiCaprio habla en la #ONU sobre el #CambioClimatico @LeoDiCaprio @user @climadecambios http,Spanish,2.442059
#WWESSD ماشاء الله مب واضح التمثيل كأنه حقيقة http,Arabic,2.3863983
@user @user @user 40 anni e portarli bene,Italian,2.7383542
@user @user L’odio va segnalato sempre. Io mi vergognerei di augurare la morte se se fossi in te http,Italian,2.4041243
금리인하 진퇴양난..집값 잡기 포기냐 vs 경기부양 포기냐 | 다음 뉴스 http,Korean,2.5474868
@user @narendramodi मान गई की #चौकीदार_ही_चोर_है की अभी और सबूत चाहिए?,Hindi,2.4519856
"लोग दिल्ली जाते हैं, टिकट मांगने गिर्राजसिंह गए हैं लौटाने - कन्हैया कुमार",Hindi,2.6864452
"@user @Le_Figaro Marciare divisi, colpire Uniti.",Italian,2.3907564
#puma es ahora una tendencia en #Temuco http http,Spanish,2.4443042
@user @user @PSG_inside Ou alors dernière année sous l'ère Qatari et ils lâchent le pactole avant la CDM 2022. 🤪Mdr 😂😂 #2nddegre,French,2.790322
@user @user Archeologie ook niet. http,Dutch,2.4895618
@user 여보는 그 .. 야구보는 여보와 안보는 여보가 인격이 두개같어,Korean,2.7006245
@user لوزه الالالافيو,Arabic,2.5723665
#الشريقي_رئيساً_للمركز_الوطني_للتشغيل رجالا احترمو الأمانة. وخدمو وطنهم بدون تفاني. #باحثون_عن_عمل_يستغيثون23,Arabic,2.4482985
"@KailashOnline जन्मदिन की हार्दिक बधाई शुभकामनाएं,, जय हो 💐💐💐🎂🎂",Hindi,2.9891794
ما كسرني فراق ولا ذبحني غياب القهر ليه اصفي نيتي وانصدم ؟,Arabic,2.6546957
Ben benieuwd wat ze er van gaan vinden 😭😭,Dutch,2.5296435
"@user Adotei ele, só falta treinar",Portuguese,2.586604
@user It already got weird,English,2.6881764
자기 꿈은 정치인이라며 늘 양말을 빨파로 맞춰신고오던 학생회장 언니 http,Korean,2.5177755
Para q busco cosas que sé que me van a hacer mal🤦🏼‍♀️No aprendo más,Spanish,2.6571965
粉丝到1000后，发全版,Chinese,2.5446053
بعض الناس اذا زعلوا ودك تقولهم واخييراً.,Arabic,2.6698194
@user On aura le temps plus tard ok ?😔,French,2.6702528
@user @user ههههههاي,Arabic,2.7360442
Em Iconha parece que passou um furacão e destruiu tudo. Que tristeza 😓,Portuguese,2.3859437
Ces fdp de Monaco ils achètent tous les joueurs du monde pour se faire poutrer par tout le monde cheh,French,2.581735
इस वीडियो जरूर देखें जी हो सके कहीं आप जी काम आ जाए http,Hindi,2.6434805
You should be sad di Halsey&gt; Ogni canzone cacciata fino ad oggi dai pischelli americani,Italian,2.8525078
"कोई भी इंसान उसी व्यक्ति की बातें चुपचाप सुनता है, जिसे खो देने का डर सबसे ज्यादा होता है..!!",Hindi,2.92877
실물 궁금쓰,Korean,2.521529
fuck going outside today,English,2.7464585
@user Cos'è che ha fatto?!? http,Italian,2.647137
@user Netwerken!!,Dutch,2.5984497
@CNN 华为的营业额确实很大，但是他的背后是整个国家人才支撑体系。这点 已经有人注意到了,Chinese,2.5139337
@user انا بفكر في مصر,Arabic,2.5894475
"pqp eu tenho um penhasco pelo wayv mds,,,,,,,,que talento",Portuguese,2.7106209
@user सालों की म@%@%,Hindi,2.7310283
تحت تاثير اغنيه 🎻,Arabic,2.6307576
شنو الافضل برايكم ؟!! ١-حب . خطوبه . زواج ٢-خطوبه . حب . زواج أنا عن نفسي أشوف شاورما . بطاط . بيبسي,Arabic,2.682893
"Espero no llorar al rato, desde que entre al cuarto de mi mama no eh dejado de reir con ella y mi hermana jajaja",Spanish,2.6609414
NIEUW! ‘Meerderheid in de maak voor nieuw competitieformat Jupiler Pro League’ http Het is nog altijd #aagent #buffalos,Dutch,2.5772564
نبي حوشنا 💔,Arabic,2.41249
모두의 익명 질문을 모집 중! 최근 답변한 질문 ● 체리벨님은 왜 체리벨이에요?… #질문상자 #익명질문모집중 http,Korean,2.7209706
@user Hai ragione,Italian,2.628018
@user 爱了爱了,Chinese,2.5106149
"@user Exactly. I don’t send nudes. No reason, we grown pull up. Lol.",English,2.6670656
아니 전신 안그려지는 것도 있고 어차피 사복이라,Korean,2.7100728
단뎀 하실 분 예진 님 계셔요,Korean,2.7338777
@user 름상 화이팅!!!!!!,Korean,2.6543984
한 글자 닉네임 해보고 싶었어...,Korean,2.5637512
Esse ano eu encerro com chave de ouro namorando se tudo der certo k,Portuguese,2.5883417
@user 🖕🏽,Chinese,2.6947422
@user @user @user @user @user @user Este wey quiere público para su cuenta pedorra,Spanish,2.4208076
@user Si tu fais des old el passo pq pas,French,2.577356
일본 스너프 필름 공론화 해시 입니다!!!!! 탐라에서 이해시를 목격하신 당신!!!!! #残虐AV反対 딱30초만 총공에 투자해주세요!!!!! #AV強要問題 알티복붙으로 연대부탁드립니다!!!!!,Korean,2.474511
@user وحنا صياحين ومالك شغل ومحد طلب منك تحبنا,Arabic,2.4304702
@user @user @user @BTS_twt We hebben het over fucking shipnamen gehad... #BBMAsTopSocial BTS @BTS_twt,Dutch,3.0457158
@Mov5Stelle I sogni aiutano a vivere o la vita aiuta a sognare? Qui mi sa che la sveglia sarà tragica...,Italian,2.4524195
قال رسول الله صلى الله عليه وسلم من أحب أن يبسط له في رزقه وينسأ له في أثره فليصل رحمه -- صحيح البخاري #Hadith #ﷺ #ﷺ,Arabic,2.9508615
“Fine Art” by Mike Lopez Jr. http,English,2.6505394
@user Lo tengo claro desde q me enganché🤣🤣🤣🤣,Spanish,2.4533908
여신이 영어로 뭐냐고 물어봤는데... #쭈서기 http,Korean,2.5500145
#新個人資料相片,Chinese,2.724611
Bon je vais me couper les cheveux plus court c’est décidé,French,2.5284185
@user @user अरे कुछ भी नहीं डेटा पैक 😂😂बोलो तो करवा दूंगा कोई बड़ी बात नाही है फ्रेंड्स में सब चलता है,Hindi,2.6621249
@user اي اكو اصلا الصورة اني ماخذتها هسه قرري والمكان علية,Arabic,2.5848234
@viniciussmunhoz Vou confiar em vc @viniciussmunhoz 😁😁😁,Portuguese,2.480094
@user Lamento mucho eso!!,Spanish,2.7572331
@user trop hihi j’ai hâte🥰🥰🥰 je veux me faire tatouer une épée aussi mais + tard,French,2.532611
@user cosa hai tirato fuori...😲,Italian,2.6335628
Feliz ano novo ✨❤️,Portuguese,2.6009765
@user Je suis choqueeeeee,French,2.4760299
"@user Il n'a pas demandé de les bombarder comme de ""vulgaires""Irakiens ?",French,2.5529847
"Quelqu'un aurait un lien pour bring the soul vostfr ? Parce que j'ai beau chercher, je trouve pas 😭😭",French,2.4305716
@mirai_nagasu @USFigureSkating You are a beautiful badass and I wish you a speedy recovery! ❤️,English,2.4945998
Wát een beelden: invaller Reiziger pakt drie penalty's en scoort voor Ajax O19 : http #Ajax,Dutch,2.6734486
"@user @user If you get upset when people kill last, You genuinely smell like boiled penny loafers",English,2.426687
"طموحاتي ولو لـفّ الزمان ودار احس بحجمها دايـم واصدقها .. سواءً جار هذا الوقت او ماجار بعون الله ""محققها . . محققها",Arabic,2.6104312
@user なんやて！！！！！！（衝撃）,Chinese,2.6234214
still pinching myself that i acc live in Amsterdam now !! MAKE YUR OWN DREAMS COME TRU BBYS,English,2.4174185
Mooi afgefloten ook,Dutch,2.650183
@user você!! 💕,Portuguese,2.8438244
@user أنا أستعملتها الجولة الماضية وتوفقت في ذالك بس يالغالي توني دخلت التطبيق وما لقيت التشكيلة هاذي في الفيديو ؟؟؟؟,Arabic,2.5113587
폰이 진짜 이상혀 터치가 뭐 지혼자 다해버리내,Korean,2.7170498
@user @user @user @user Wiskunde is niet je beste vak? Hoop ik?,Dutch,2.7908857
다큐멘터리 이런곳에서 본 거 같아 .... http,Korean,2.5376728
"@user @user @EliotHiggins @user yep, going after the White Helmets, check",English,2.6154978
스텔은 보통 인간보다 균형감각이 좋지.,Korean,2.6611435
"खुले दुश्मन से भी ख़तरनाक है, जो वोट हमारे दुश्मन को देता है, रात के अंधेरे में हमारे घरों में आग लगता है, और सुबह हमसे हमदर्दी जताता है!",Hindi,2.703723
Wat een onrealistische serie is #hoogvliegers geld had beter besteed kunnen worden @EOnl @Kon_Luchtmacht,Dutch,2.7402272
@user 汪（燦笑（夠了,Chinese,2.7340229
Falta mucho para morir?,Spanish,2.6247566
@user I'd like Twilight Princess please!,English,2.7993183
@narendramodi आखिरकार ये इंतजार का समय समाप्त हुआ @narendramodi । #NirbhayaCase में आज इंसाफ मिला। देर आए दुरूस्त आए #JusticeForNirbhaya ।,Hindi,2.5563614
"El mejor del mundo reconociendo al Chicharito Hernández, y tú todo tronco criticándolo todo su carrera 😎🇲🇽 http",Spanish,2.5632079
納竿,Chinese,2.3983865
Il monumento a Giovanni Dalle Bande Nere sarebbe dovuto essere collocato dentro la basilica di San Lorenzo http,Italian,2.5191636
@user venha mesmo por favor 😔✌🏼,Portuguese,2.643911
@user माता फातिमा शेख को विनम्र अभिवादन.,Hindi,2.621103
@user هو عادي مافيها شي بالعكس لكن التوثيق هذا لييش؟؟,Arabic,2.598843
@user Jij weet wat ik niet ken?,Dutch,2.842956
Winx club wordt elk seizoen slechter!,Dutch,2.6121368
@user Ik vind hem ook top!,Dutch,2.8207214
@user 可哀想…,Chinese,2.525558
"@pankhuripathak मेडम संभल के ,आजम खान कलर पूछता हैं।",Hindi,2.7085319
@user @NOS Boa’s zijn nu leeuwen zonder tanden.,Dutch,2.6269863
@user عادي تطير وانت عند بيتكم,Arabic,2.6661236
J’arrive devant la télé pour le money time ! #LIVBAR,French,2.586574
"@user Tu as fais le tour des circoncis. Tu cherche l'exotisme, hummm.",French,2.5246835
@user اذا وصلتي قوليلي ..,Arabic,2.5165825
(그냥 해시태그 만들어봄..╮(´-ω-`)╭) 우리쪽 사니와 둘은 능숙 시즈나는 있으면 있는대로 편히쓰고 타다시는 아마 거의 몸의 일부 그래도 예전보단 덜 쓰는편 #사니와의_단말기_사용실력,Korean,2.5885124
Cómo hago para decirle todo sin enloquecer? 🤔,Spanish,2.5830107
@user @robertosaviano @repubblica Saviano ne ha una identica. Come commenti?,Italian,2.4921649
"quero digitar tanta coisa aqui, mas vai dar tanta merda",Portuguese,2.6160643
"@user Y donde podemos ver la propuesta?, que proponen nuestros diputados?",Spanish,2.4767706
纽约市高度戒备准备应对伊朗可能进行的报复(图) http,Chinese,2.5579443
@user Et pourquoi pas en Swahili ou en Tagalog ?,French,2.6370363
"@user @user @user Ja je eigen terrein veranderen in fort knox omdat Nederland ""denkt"" goed op weg te zijn....",Dutch,2.9420133
"Het is weer fraai, vuilstort in het buitengebied http",Dutch,2.860148
@user c'est valid on y peut rien!,French,2.4938066
Est-ce que quelqu’un a des nouvelles d’Andrea Tafi ? #ParisRoubaix #LesRP #AntenneVieux,French,2.7386396
"@user É gratificante, te entendo!!! Sinto o mesmo 😍😍😍",Portuguese,2.3426204
i’ve only watched the first 20 mins of owl and the pussycat and i’m already in love. how have i been deprived of this for so long?????,English,2.8237166
@user Ze zegt toch ook dat demi tyler kan aanklagen hahdjshss,Dutch,2.6285074
sou oficialmente uma universitária caralho obgd deus eu sei que tu me sondas http,Portuguese,2.690621
@user me lo consiglieresti?,Italian,2.581693
@CaoChangqing “这才是代表美国精神的美国人，那就是，无论面对什么困境，都有打不垮的乐观、自由、感恩！” 说得太好了，大赞！👍👍👍,Chinese,2.556311
"#तस्मै_श्री_गुरवे_नमः मैं जीने के लिए अपने पिता की ऋणी हूँ, पर अच्छे से जीने के लिए अपने गुरु की। @user @user",Hindi,2.810746
@user L’ho visto proprio adesso!!,Italian,2.7904308
@user @user @user nao tem problema vc ter medo de alguém http,Portuguese,2.501821
हलका हलचल में देखिए आज क्या है आपके हलके में खास ? #MorningNews #Haryana http,Hindi,2.7967737
@HaraldDoornbos Moeten we hier nu medelijden mee krijgen?,Dutch,2.9438505
Eu ja to com meu cu fechado e nem chegou a hora da prova,Portuguese,2.4413583
@user Ah ecco!! Questo mi rincuora 😂😂😂,Italian,2.760365
@user @SitaramYechury क्या सोच के इसका नाम सीताराम रखा?,Hindi,2.8641424
@user Il Parma non è da B. Meglio lui di Ashley Young,Italian,2.6687331
@user nossa oi vamo,Italian,2.8036132
@user जयचन्द हम शर्मिंदा है तेरे वारिस जिन्दा है। # Delhi Election.,Hindi,2.5944862
@user 꺅 당연하지! 다음에 데이또 꼭 하쟈💖 우리 아모 좋은하루 보내자앙❣️❣️,Korean,2.885097
"- Sonríe a la vida, no solo a la cámara . ✨",Spanish,2.6822007
@user Oleee. Y compartirlo contigo y reírnos de lo divino y lo humano. Se te echa mucho de menos.,Spanish,2.6472394
@user Je trouve ça magnifique repartir de rien et créer la vie... finalement c’est un peu ressusciter !!!,French,2.4816256
Lennar Corp to restate earnings after losing $140M to lawsuit in Maryland - South Florida Business Journal http,English,2.5964975
@user ah voilà mtn ça m’aide ça me dit qlqch,French,2.5316293
No encuentro motivación ni de chiste,Spanish,2.4583251
@user صباح الهنا والسعادة,Arabic,2.5190027
@user È bellissimaaa😭😍,Italian,2.8563437
"Gravata, perdón.",Spanish,2.7584481
Voy de mal en peor,Spanish,2.6284277
@Shehla_Rashid इमरान खान से लिखवा के ले आ जा... कोई नहीं तुझको सरण दे देंगे... !!!,Hindi,2.8956778
"#Bonolis sempre simpatico, non perde un'occasione #avantiunaltro",Italian,2.6250587
"Microsoft Windows 10, l'aggiornamento di maggio 2019 disponibile per il download http",Italian,2.7642913
@user 是我嗎😅,Chinese,2.807677
स्याही जूता फिर थप्पड़ ये है राजनीति #LokSabhaElections2019,Hindi,2.6810627
@user @user Je le vois absolument pas le mec a sué pour RIEN,French,2.4063146
Manda msg e apaga mais meu Whatsapp é o GB kkkkk,Portuguese,2.5997002
"Foda que tem altas mina gata nessa cidade mas nenhuma vale alguma coisa, só golpe em cima de golpe",Portuguese,2.5126195
@user passo,Italian,2.503491
@user Et une kiks pour @user UNE😂😂,French,2.4409015
"Alla fine la scelta la farà Manuel... Sceglierà Giulio, lui dirà di sì e andranno insieme a fare le risse #uominiedonne",Italian,2.5440147
"@user @user @user Trois tweets, et on ne comprend toujours rien à ce que vous dites...",French,2.4348974
Notre Dame qui prend feu le soir où Emmanuel Macron doit prendre la parole. COMME PAR HASARD,French,2.4593153
@user Proest! Dan hoop ik maar dat dit verhaal geen staartje krijgt! 🙃,Dutch,2.806587
#호평동만남ㅇㅓ플 #호평동채팅ㅇㅓ플 #호평동ㅈㅗ건ㅇㅓ플 카툭 💖 AG665 🎎비아그라제공🎗️수위/횟수무제한 🧿와꾸 마인드 최고! #호평동만남사이트 #호평동실시간만남 #호평동원ㄴㅏ잇섹ㅍㅏ #호평동출장맛ㅅㅏㅈㅣ,Korean,2.6340363
"Como cuestan los lunes amigo, debería ser feriado siempre",Spanish,2.4670088
@user Rohh ses tchoutch,French,2.730636
eu e a letícia ficamos duas horas ali torrando no sol tô até revigorado,Portuguese,2.6939244
no motivation left and the year just started,English,2.5816228
@user this why all ur irls are het,Dutch,2.8400247
les messages mignons au réveil🥰,French,2.6825683
Rico como lo mueve http,Spanish,2.4272535
ثق أني أحببتك كما لم أحب أحداً وأني قد أنسى كل شيء إلا أنت💘.,Arabic,2.574098
#GodMorningThursday तमाखू का सेवन करने से गाय का खून पीने के समान पाप लगता है। http,Hindi,2.7677772
@user Sábado eu vou aí,Portuguese,2.4123433
@KingThelonious @MickeyChristmas Y’all never met me,Dutch,2.3616025
nao usava grafite 0.9 = aberração,Portuguese,2.5284183
الحمدلله رزقنا الله سبحانه وتعالي زيارة امير المؤمنين علي بن أبي طالب عليه افضل الصلاة والسلام http,Arabic,2.6526175
"والله إنكم فرحتي ورحَابة هالكُون وضيّه . ( @user ,@Ev2il1 )",Arabic,2.688479
"@user (너를 마주 주시하다, 이내 상체를 숙여 시평선을 맞춘다.) 널 호명한 것을 인지했다면, 즉각 반응해야지. 대답.",Korean,2.5240834
"U rijdt met een #scootmobiel, met uw mobiele telefoon aan de hand door het centrum van uw stad..... Mag dit🤔😅😂 http",Dutch,2.9009027
@user يروح في برحه فاضيه ويجيب كرسي ولا يروح البر,Arabic,2.487387
"🌹 मिलावट का दौर है साहब... हां में हां मिला दिया करो,संबंध लम्बे समय तक टिकेंगे...",Hindi,2.8929048
Segunda - feira e foda o cara não tem ânimo pra nada,Portuguese,2.2629461
#IPityTheFoolThat lives on the hill Sees the sun going down And the eyes in his head See the world spinning round http,English,2.3892648
J'ai dépassé officiellement le nombre de 100 vidéos monté pour @MrBboy45 ! C'est énorme ! Merci pour le soutien ❤️️,French,2.484707
"Pour le pape, l'interdit de l'avortement est humain, pas religieux http",French,2.460004
तुम जमीन मेरे हिस्से की या आसमान सा छलावा तुम एहसान कोई मुझपर या महज़ पछतावा,Hindi,2.6913412
alguien sabe si desde la app de cien ar se puede ver el cable en vivo? o hay que esperar hasta que suban el capitulo?,Spanish,2.3717604
@user @user अशोक नगर का है ये कोई भी वीडियो या पोस्ट पक्का करो फिर डालो एक साइड लड़का बोल रहा ये अशोक नगर का,Hindi,2.87496
@user @user Y lo volveria a hacer,Spanish,2.3927712
बात ....... करोडो की दुकान ...... पकोड़ो की संगत .......भगोड़ों की आफत .....मज़दूरों की,Hindi,2.6256793
@user @user @user @user hey suggest me a laptop for gaming n personal use budget is 50-55k,English,2.4764037
@user C'est @user direct,French,2.518364
@user कौन सी क्रिम लगाती हो बोलो यार मेरे को भी white होना है parchhai कितनी गली हो चले गा😂😂😂😂,Hindi,2.752116
Gratidão a Deus por mais um dia sendo iniciado 🙌🏻❣️,Portuguese,2.3772678
